id,name,description_sale,description_purchase,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_std_ahu_1,39GAP06-06 ACCESS DOOR 013074,,,463P0068,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,394,
product_std_ahu_2,39GPN06-07 PANEL 013229,,,463P0223,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,368,
product_std_ahu_3,39GPF06-06 PANEL 013470,,,463P0464,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,315,
product_std_ahu_4,39GPN12-25 PANEL 014742,,,463P0637,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,2394,
product_std_ahu_5,HINGE DOOR ASSY 0314 CL/GI,,,362-1AH0314CLGI,Amair Limited,Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,1,
product_std_ahu_6,HINGE DOOR ASSY 0414 CL/GI,,,362-1AH0414CLGI,Amair Limited,Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,1,
product_std_ahu_7,HINGE DOOR ASSY 0714 CL/GI,,,362-1AH0714CLGI,Amair Limited,Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,1,
product_std_ahu_8,PNL ASSY 25MM 0314 CL/GI,,,362-1AS0314CLGI,Amair Limited,Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,727,
product_std_ahu_9,PNL ASSY 25MM 0414 CL/GI,,,362-1AS0414CLGI,Amair Limited,Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,971,
product_std_ahu_10,PNL ASSY 25MM 0714 CL/GI,,,362-1AS0714CLGI,Amair Limited,Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,1708,
product_std_ahu_11,PNL ASSY 25MM 0714 GI/GI,,,362-1AS0714GIGI,Amair Limited,Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,1730,
product_std_ahu_12,PNL ASSY 25MM 0712 CL/GI STD PU HCFC141B,,,362-1AS0712CLGI,Amair Limited,Standard AHU,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,EA,EA,,Real Time (automated),1,1462,
product_cold_1,Wall T25 PU.Foam OffWhite SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_2,Wall T25 PU.Foam Alpine SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_3,Wall T25 PU.Foam OffWhite SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_4,Wall T25 PU.Foam Alpine SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_5,Wall T25 PU.Foam OffWhite SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_6,Wall T25 PU.Foam Alpine SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_7,Wall T25 PU.Foam OffWhite SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_8,Wall T25 PU.Foam Alpine SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_9,Wall T25 PU.Foam OffWhite SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_10,Wall T25 PU.Foam Alpine SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_11,Wall T25 PU.Foam OffWhite SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_12,Wall T25 PU.Foam Alpine SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_13,Wall T42 PU.Foam OffWhite SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_14,Wall T42 PU.Foam Alpine SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_15,Wall T42 PU.Foam OffWhite SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_16,Wall T42 PU.Foam Alpine SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_17,Wall T42 PU.Foam OffWhite SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_18,Wall T42 PU.Foam Alpine SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_19,Wall T42 PU.Foam OffWhite SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_20,Wall T42 PU.Foam Alpine SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_21,Wall T42 PU.Foam OffWhite SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_22,Wall T42 PU.Foam Alpine SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_23,Wall T42 PU.Foam OffWhite SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_24,Wall T42 PU.Foam Alpine SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_25,Wall T50 PU.Foam OffWhite SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_26,Wall T50 PU.Foam Alpine SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_27,Wall T50 PU.Foam OffWhite SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_28,Wall T50 PU.Foam Alpine SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_29,Wall T50 PU.Foam OffWhite SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_30,Wall T50 PU.Foam Alpine SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_31,Wall T50 PU.Foam OffWhite SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_32,Wall T50 PU.Foam Alpine SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_33,Wall T50 PU.Foam OffWhite SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_34,Wall T50 PU.Foam Alpine SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_35,Wall T50 PU.Foam OffWhite SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_36,Wall T50 PU.Foam Alpine SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_37,Wall T75 PU.Foam OffWhite SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_38,Wall T75 PU.Foam Alpine SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_39,Wall T75 PU.Foam OffWhite SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_40,Wall T75 PU.Foam Alpine SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_41,Wall T75 PU.Foam OffWhite SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_42,Wall T75 PU.Foam Alpine SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_43,Wall T75 PU.Foam OffWhite SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_44,Wall T75 PU.Foam Alpine SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_45,Wall T75 PU.Foam OffWhite SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_46,Wall T75 PU.Foam Alpine SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_47,Wall T75 PU.Foam OffWhite SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_48,Wall T75 PU.Foam Alpine SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_49,Wall T100 PU.Foam OffWhite SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_50,Wall T100 PU.Foam Alpine SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_51,Wall T100 PU.Foam OffWhite SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_52,Wall T100 PU.Foam Alpine SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_53,Wall T100 PU.Foam OffWhite SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_54,Wall T100 PU.Foam Alpine SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_55,Wall T100 PU.Foam OffWhite SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_56,Wall T100 PU.Foam Alpine SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_57,Wall T100 PU.Foam OffWhite SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_58,Wall T100 PU.Foam Alpine SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_59,Wall T100 PU.Foam OffWhite SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_60,Wall T100 PU.Foam Alpine SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_61,Wall T125 PU.Foam OffWhite SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_62,Wall T125 PU.Foam Alpine SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_63,Wall T125 PU.Foam OffWhite SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_64,Wall T125 PU.Foam Alpine SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_65,Wall T125 PU.Foam OffWhite SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_66,Wall T125 PU.Foam Alpine SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_67,Wall T125 PU.Foam OffWhite SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_68,Wall T125 PU.Foam Alpine SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_69,Wall T125 PU.Foam OffWhite SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
