id,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_supplier_1,ห้างหุ้นส่วนจำกัด สามที เซ็นเตอร์เซอร์วิส,,30 Days,100000,TRUE,TRUE,FALSE,,Default,FALSE,61/70 หมู่ 6 ,ลำลูกกา ลำลูกกา,12150,ปทุมธานี,,0-2987-1753,,0-2987-1164,,,,,Chatchai T.
res_partner_supplier_2,บริษัท แอดวานซ์ ซีวิล กรุ๊ป จำกัด,,30 Days,500000,TRUE,TRUE,FALSE,,Default,FALSE,295 สามเสน,วัดสามพระยา พระนคร,10200,กรุงเทพมหานคร,,"0-2280-5274, 0-2280-2164",,0-2628-5568,,,,,Chatchai T.
res_partner_supplier_3,บริษัท แอดวานซ์ ซีวิล กรุ๊ป จำกัด (Shipping),,,,FALSE,TRUE,FALSE,บริษัท แอดวานซ์ ซีวิล กรุ๊ป จำกัด,Shipping,FALSE,35/172  หมู่ 1 ,ตลาดขวัญ เมือง,11000,นนทบุรี,,"0-2282-4280, 0-2282-6789",,,,,,,
res_partner_supplier_4,บริษัท แอร์โค จำกัด,,30 Days,1000000,TRUE,TRUE,FALSE,,Default,FALSE,1126/2 อาคาร วานิช 2 ชั้น 30-31 เพชรบุรีตัดใหม่,มักกะสัน ราชเทวี,10400,กรุงเทพมหานคร,,0-2704-9999,,0-2704-9631,,,,,Chairat S.
res_partner_supplier_5,บริษัท แอดวานซ์ ฟาร์มาซูติคอล แมนูแฟคเจอริ่ง จำกัด,,30 Days,20000000,TRUE,TRUE,FALSE,,Default,FALSE,601/5-8 ซอย สุทธิพร ประชาสงเคราะห์,ดินแดง ดินแดง,10400,กรุงเทพมหานคร,,0-2663-2323,,0-2248-5370,,,,,Chairat S.
res_partner_supplier_6,บริษัท เอ - โอเค จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,19/72 หมู่ 1 หมู่บ้านรอยัลนครินทร์วิลล่า ศรีนครินทร์,หนองบอน ประเวศ,10250,กรุงเทพมหานคร,,0-2743-3744-5,,0-2743-3746,,,,,Weeranuwat S.
res_partner_supplier_7,บริษัท เอ.ดี.ดี เอ็นจิเนียริ่ง จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,205 ซอย สมเด็จพระเจ้าตากสิน 18 ,บุคคโล ธนบุรี,10600,กรุงเทพมหานคร,,0-2890-4600,,0-2890-4600,,,,,Chairat S.
res_partner_supplier_8,บริษัท อารีย์ เอ็นจิเนียร์ ซัพพลายส์ จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,22/323 หมู่ 10 อาคาร เอเวอร์กรีน ทาวเวอร์ ชั้น 1 ซอย บางนา 56 บางนา-ตราด,บางนา บางนา,10260,กรุงเทพมหานคร,,0-2751-5125,,0-2751-5124,,,,,Chatchai T.
res_partner_supplier_9,ห้างหุ้นส่วนจำกัด เอ.อาร์.แอล.เอ็นจิเนียริ่ง,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,2535-2536  หมู่ 2 ,คลองจิก บางปะอิน,13160,พระนครศรีอยุธยา,,0-3522-0766,,0-3522-0748,,,,,
res_partner_supplier_10,บริษัท แอม.เจ คอนสตรัคชั่น แอนด์ แมนเนจเม้นท์ จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,52/478 หมู่ 7 ซอย เอกทักษิณ พหลโยธิน,หลักหก เมือง,12000,ปทุมธานี,,0-2533-9977,,0-2997-7364,,,,,Dusit T.
res_partner_supplier_11,บริษัท ออริก้า เอ็นจิเนียริ่ง จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,4/31 หมู่ 1 พระราม 2 ซอย 18,บางมด จอมทอง,10150,กรุงเทพมหานคร,,0-2877-1193-4,,0-2877-1140,,,,,Dusit T.
res_partner_supplier_12,บริษัท แอร์บอร์น เอ็นจิเนียริ่ง จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,51/14  ซอย ศิริถาวร พระราม 9,สวนหลวง สวนหลวง,10250,กรุงเทพมหานคร,,0-2719-1114,,0-2719-1114,,,,,Chatchai T.
res_partner_supplier_13,บริษัท เอ อี เอส วิศวกรรม จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,1451  ซอย ลาดพร้าว 94 ลาดพร้าว,วังทองหลาง วังทองหลาง,10310,กรุงเทพมหานคร,,0-2530-3974-8,,0-2530-3976,,,,,Chatchai T.
res_partner_supplier_14,บริษัท แอกเซส อินดัสเตรียล เทคโนโลยี จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,274  อาคาร เอ2 ชั้น 1 ซอย ศูนย์วิจัย 4 (โรงเรียนญี่ปุ่น) พระราม 9,บางกะปิ ห้วยขวาง,10320,กรุงเทพมหานคร,,"0-2319-9961-4, 0-2319-9372-3",,0-2319-9960,,,,,Surasak S.
res_partner_supplier_15,บริษัท เอ แอล เค เอ็นจิเนียริ่ง จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,39  หมู่ 12 ,ทรายมูล สันกำแพง,50130,เชียงใหม่,,0-5330-8362,,0-5330-8319,,,,,Surasak S.
res_partner_supplier_16,บริษัท ออลเทอร์ แอร์คอนดิชั่นนิ่ง จำกัด,,60 Days,,TRUE,TRUE,FALSE,,Default,FALSE,410 ซอย พระยาสุเรนทร์ 30 รามอินทรา 109,บางชัน คลองสามวา,10510,กรุงเทพมหานคร,,0-2540-6871,,0-2918-6954,,,,,Dusit T.
res_partner_supplier_17,บริษัท เอเชีย วี.เอส.ซี. คอร์ปอเรชั่น จำกัด,,60 Days,,TRUE,TRUE,FALSE,,Default,FALSE,8/2 ซอย สามแยกบายพาส สุขุมวิท,เนินพระ เมือง,21150,ระยอง,,0-3868-8589-92,,0-3868-8591,,,,,
