id,name,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price
product_ahu_1,PU Panel (T) 25 mm. (Galvanized/Off White steel sheet) None PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_2,PU Panel (T) 25 mm. (Off White/Off White steel sheet) None PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_3,PU Panel (T) 25 mm. (Stainless/Off White steel sheet) None PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_4,PU Panel (T) 25 mm. (Stainless/Stainless steel sheet) None PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_5,PU Panel (T) 25 mm. (Galvanized/Off White steel sheet) PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_6,PU Panel (T) 25 mm. (Off White/Off White steel sheet) PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_7,PU Panel (T) 25 mm. (Stainless/Off White steel sheet) PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_8,PU Panel (T) 25 mm. (Stainless/Stainless steel sheet) PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_9,"PU Panel (T) 25 mm. (Off White/Off White steel sheet) PVC. Frame. , Steel Flat-Bar",,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_10,"PU Panel (T) 25 mm. (Stainless/Off White steel sheet) PVC. Frame. , Steel Flat-Bar",,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_11,"PU Panel (T) 25 mm. (Stainless/Stainless steel sheet) PVC. Frame. , Steel Flat-Bar",,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_12,PU Panel (T) 42 mm. (Galvanized/Off White steel sheet) Slip joint with PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_13,PU Panel (T) 42 mm. (Off White/Off White steel sheet) Slip joint with PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_14,PU Panel (T) 42 mm. (Stainless/Off White steel sheet) Slip joint with PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_15,PU Panel (T) 42 mm. (Stainless/Stainless steel sheet) Slip joint with PVC. Frame,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_16,PU Panel (T) 50 mm. (Galvanized/Off White steel sheet) Slip joint with Camlock,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_17,PU Panel (T) 50 mm. (Off White/Off White steel sheet) Slip joint with Camlock,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_18,PU Panel (T) 50 mm. (Stainless/Off White steel sheet) Slip joint with Camlock,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_19,PU Panel (T) 50 mm. (Stainless/Stainless steel sheet) Slip joint with Camlock,,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
product_ahu_20,"TGH : PU Panel (T) 50 mm. (Off White/Off White steel sheet) Slip joint + Cam lock , PVC. Frame. , Steel Flat-Bar",,,AHU,TRUE,FALSE,Consumable,Make to Order,Manufacture,Standard Price,All products,sqm.,sqm.,Real Time (automated),1,1
