"id","name","description","line_ids/thickness","line_ids/flowrate","line_ids/density","line_ids/correction_factor","line_ids/overpack_1","line_ids/overpack_2","line_ids/settime"
"master_line1","line1","PU (density 40)",25,1.12,45,0,13,11,30
,,,42,1.12,40,0,13,11,35
,,,50,1.12,40,0,13,11,40
,,,75,1.12,40,0,13,11,45
,,,100,1.12,40,0,13,11,50
,,,125,1.12,40,0,13,11,60
,,,150,1.12,40,0,13,11,110
,,,"F42+D42",1.12,40,0,13,11,35
,,,"F50+D50",1.12,40,0,13,11,40
,,,"F100+D42",1.12,40,0,13,11,35
,,,"F100+D50",1.12,40,0,13,11,40
"master_line2","line2","PU (density 40)",25,0.594,45,0,16,11,30
,,,42,0.594,40,0,16,11,35
,,,50,0.594,40,0,16,11,40
,,,75,0.594,40,0,16,11,45
,,,100,0.594,40,0,16,11,50
,,,125,0.594,40,0,16,11,60
,,,150,0.594,40,0,16,11,110
,,,"F42+D42",0.594,40,0,16,11,35
,,,"F50+D50",0.594,40,0,16,11,40
,,,"F100+D42",0.594,40,0,16,11,35
,,,"F100+D50",0.594,40,0,16,11,40
"master_line3","line3","PU (density 40)",25,1.12,45,0,13,11,30
,,,42,1.12,40,0,13,11,35
,,,50,1.12,40,0,13,11,40
,,,75,1.12,40,0,13,11,45
,,,100,1.12,40,0,13,11,50
,,,125,1.12,40,0,13,11,60
,,,150,1.12,40,0,13,11,110
,,,"F42+D42",1.12,40,0,13,11,35
,,,"F50+D50",1.12,40,0,13,11,40
,,,"F100+D42",1.12,40,0,13,11,35
,,,"F100+D50",1.12,40,0,13,11,40
"master_line4","line4","Door PU (density 80)",25,0.594,68,0,30,30,50
,,,42,0.594,68,0,30,30,50
,,,50,0.594,67,0,30,30,50
,,,75,0.594,67,0,30,30,50
,,,100,0.594,67,0,30,30,50
,,,125,0.594,67,0,30,30,50
,,,150,0.594,67,0,30,30,50
,,,"F42+D42",0.594,68,0,30,30,50
,,,"F50+D50",0.594,68,0,30,30,50
,,,"F100+D42",0.594,67,0,30,30,50
,,,"F100+D50",0.594,67,0,30,30,50
"master_line5","line5","PIR",25,0,35.38,1.05,20,20,30
,,,42,0,34.52,1.05,20,20,35
,,,50,0,34.52,1.05,20,20,35
,,,75,0,32.67,1.05,20,20,40
,,,100,0,32.67,1.05,20,20,40
,,,125,0,32.67,1.05,20,20,45
,,,150,0,32.67,1.05,20,20,45
,,,"F42+D42",0,34.52,1.05,20,20,35
,,,"F50+D50",0,34.52,1.05,20,20,35
,,,"F100+D42",0,34.52,1.05,20,20,35
,,,"F100+D50",0,34.52,1.05,20,20,35
