"id","account_id","partner_id/id","date_invoice","invoice_line/product_id","invoice_line/name","invoice_line/uos_id","invoice_line/account_id","invoice_line/price_unit","invoice_line/invoice_line_tax_id"
"account_invoice_balance_1",100210,"res_partner_cust_67","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,106000,"Output VAT 7%"
"account_invoice_balance_2",100210,"res_partner_cust_7","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,950000,"Output VAT 7%"
"account_invoice_balance_3",100210,"res_partner_cust_4","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,476000,"Output VAT 7%"
"account_invoice_balance_4",100210,"res_partner_cust_24","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,200000,"Output VAT 7%"
"account_invoice_balance_5",100210,"res_partner_cust_16","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,1174448,"Output VAT 7%"
"account_invoice_balance_6",100210,"res_partner_cust_20","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,2487332,"Output VAT 7%"
"account_invoice_balance_7",100210,"res_partner_cust_50","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,334061,"Output VAT 7%"
"account_invoice_balance_8",100210,"res_partner_cust_28","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,2316611,"Output VAT 7%"
"account_invoice_balance_9",100210,"res_partner_cust_63","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,2600000,"Output VAT 7%"
"account_invoice_balance_10",100210,"res_partner_cust_88","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,31570,"Output VAT 7%"
"account_invoice_balance_11",100210,"res_partner_cust_90","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,13000,"Output VAT 7%"
"account_invoice_balance_12",100210,"res_partner_cust_98","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,2682673,"Output VAT 7%"
"account_invoice_balance_13",100210,"res_partner_cust_108","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,250000,"Output VAT 7%"
"account_invoice_balance_14",100210,"res_partner_cust_132","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,1243788,"Output VAT 7%"
"account_invoice_balance_15",100210,"res_partner_cust_142","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,60738,"Output VAT 7%"
"account_invoice_balance_16",100210,"res_partner_cust_146","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,183400,"Output VAT 7%"
"account_invoice_balance_17",100210,"res_partner_cust_161","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,2343925,"Output VAT 7%"
"account_invoice_balance_18",100210,"res_partner_cust_176","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,211000,"Output VAT 7%"
"account_invoice_balance_19",100210,"res_partner_cust_174","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,875520,"Output VAT 7%"
"account_invoice_balance_20",100210,"res_partner_cust_203","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,2843610,"Output VAT 7%"
"account_invoice_balance_21",100210,"res_partner_cust_202","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,261280,"Output VAT 7%"
"account_invoice_balance_22",100210,"res_partner_cust_225","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,180000,"Output VAT 7%"
"account_invoice_balance_23",100210,"res_partner_cust_234","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,207000,"Output VAT 7%"
"account_invoice_balance_24",100210,"res_partner_cust_227","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,1665026,"Output VAT 7%"
"account_invoice_balance_25",100210,"res_partner_cust_245","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,782087,"Output VAT 7%"
"account_invoice_balance_26",100210,"res_partner_cust_280","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,2050000,"Output VAT 7%"
"account_invoice_balance_27",100210,"res_partner_cust_274","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,24000,"Output VAT 7%"
"account_invoice_balance_28",100210,"res_partner_cust_266","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,5005666,"Output VAT 7%"
"account_invoice_balance_29",100210,"res_partner_cust_260","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,515800,"Output VAT 7%"
"account_invoice_balance_30",100210,"res_partner_cust_313","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,188408,"Output VAT 7%"
"account_invoice_balance_31",100210,"res_partner_rawmat_27","2013-12-29","[INV_BAL]","Invoice Balance (2013)","EA",401110,150000,"Output VAT 7%"
