"id","name","default_code","categ_id","uom_id","uos_id","uos_coeff","loc_rack","loc_row","loc_case",,
"product.product_part_1","AL-U CAP 40X42X40 mm(NA.1)","SP01001","Aluminium","pcs","kg",3,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_2","AL-U CAP 40X42X40 mm(MF)","SP01002","Aluminium","pcs","kg",3,"01-07",,"โกดังอะลูมิเนียม",,
"product.product_part_3","AL-U CAP 40X42X40 mm(OW)","SP01003","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
"product.product_part_4","AL-U CAP 40X42X40 mm(AP)","SP01004","Aluminium","pcs","kg",3,"01-23",,"โกดังอะลูมิเนียม",,
"product.product_part_5","AL-U CAP 25X42X25(NA.1)","SP01005","Aluminium","pcs","kg",3,"01-01",,"โกดังอะลูมิเนียม",,
"product.product_part_6","AL-U CAP 25X42X25(MF)","SP01006","Aluminium","pcs","kg",3,"01-15",,"โกดังอะลูมิเนียม",,
"product.product_part_7","AL-U CAP 25X42X25(OW)","SP01007","Aluminium","pcs","kg",3,"01-22",,"โกดังอะลูมิเนียม",,
"product.product_part_8","AL-U CAP 25X42X25(AP)","SP01008","Aluminium","pcs","kg",3,"01-23",,"โกดังอะลูมิเนียม",,
"product.product_part_9","AL ANGLE 40X40X2(NA.1)","SP01009","Aluminium","pcs","kg",2,"01-07",,"โกดังอะลูมิเนียม",,
"product.product_part_10","AL ANGLE 40X40X2(MF)","SP01010","Aluminium","pcs","kg",2,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_11","AL ANGLE 40X40X2(OW)","SP01011","Aluminium","pcs","kg",2,,,"โกดังอะลูมิเนียม",,
"product.product_part_12","AL ANGLE 40X40X2 (AP)","SP01012","Aluminium","pcs","kg",2,"01-15",,"โกดังอะลูมิเนียม",,
"product.product_part_13","AL ANGLE 40X80X2(MF)","SP01014","Aluminium","pcs","kg",3,"01-07",,"โกดังอะลูมิเนียม",,
"product.product_part_14","AL ANGLE 40X80X2(OW)","SP01015","Aluminium","pcs","kg",3,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_15","AL ANGLE 40X80X2(AP)","SP01016","Aluminium","pcs","kg",3,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_16","AL DIE 0202 เสาข้างสวิง(NA.1)","SP01017","Aluminium","pcs","kg",5,"01-03",,"โกดังอะลูมิเนียม",,
"product.product_part_17","AL DIE 0202 เสาข้างสวิง(MF)","SP01018","Aluminium","pcs","kg",5,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_18","AL DIE 0202 เสาข้างสวิง(OW)","SP01019","Aluminium","pcs","kg",5,"01-16",,"โกดังอะลูมิเนียม",,
"product.product_part_19","AL DIE 0202 เสาข้างสวิง(AP)","SP01020","Aluminium","pcs","kg",5,"01-16",,"โกดังอะลูมิเนียม",,
"product.product_part_20","AL DIE 0203 เสาล่างสวิง(NA.1)","SP01021","Aluminium","pcs","kg",6,"01-02",,"โกดังอะลูมิเนียม",,
"product.product_part_21","AL DIE 0203 เสาล่างสวิง(MF)","SP01022","Aluminium","pcs","kg",6,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_22","AL DIE 0203 เสาล่างสวิง(OW)","SP01023","Aluminium","pcs","kg",6,"01-19",,"โกดังอะลูมิเนียม",,
"product.product_part_23","AL DIE 0203 เสาล่างสวิง(AP)","SP01024","Aluminium","pcs","kg",6,"01-19",,"โกดังอะลูมิเนียม",,
"product.product_part_24","AL DIE 0201 เสาบนสวิง(NA.1)","SP01025","Aluminium","pcs","kg",5,"01-03",,"โกดังอะลูมิเนียม",,
"product.product_part_25","AL DIE 0201 เสาบนสวิง(MF)","SP01026","Aluminium","pcs","kg",5,"01-03",,"โกดังอะลูมิเนียม",,
"product.product_part_26","AL DIE 0201 เสาบนสวิง(OW)","SP01027","Aluminium","pcs","kg",5,"01-19",,"โกดังอะลูมิเนียม",,
"product.product_part_27","AL DIE 0201 เสาบนสวิง(AP)","SP01028","Aluminium","pcs","kg",5,"01-19",,"โกดังอะลูมิเนียม",,
"product.product_part_28","AL DIE 0223 คิ้วลอยเทใหญ่(NA.1)","SP01033","Aluminium","pcs","kg",1,"01-09",,"โกดังอะลูมิเนียม",,
"product.product_part_29","AL DIE 0223 คิ้วลอยเทใหญ่(MF)","SP01034","Aluminium","pcs","kg",1,,,"โกดังอะลูมิเนียม",,
"product.product_part_30","AL DIE 0223 คิ้วลอยเทใหญ่(OW)","SP01035","Aluminium","pcs","kg",1,"01-11",,"โกดังอะลูมิเนียม",,
"product.product_part_31","AL DIE 0223 คิ้วลอยเทใหญ่(AP)","SP01036","Aluminium","pcs","kg",1,"01-11",,"โกดังอะลูมิเนียม",,
"product.product_part_32","AL DIE 0224 คิ้วลอยเทเล็ก(NA.1)","SP01037","Aluminium","pcs","kg",1,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_33","AL DIE 0224 คิ้วลอยเทเล็ก(MF)","SP01038","Aluminium","pcs","kg",1,,,"โกดังอะลูมิเนียม",,
"product.product_part_34","AL DIE 0224 คิ้วลอยเทเล็ก(OW)","SP01039","Aluminium","pcs","kg",1,"01-11",,"โกดังอะลูมิเนียม",,
"product.product_part_35","AL DIE 0224 คิ้วลอยเทเล็ก(AP)","SP01040","Aluminium","pcs","kg",1,"01-11",,"โกดังอะลูมิเนียม",,
"product.product_part_36","AL FLOOR BASE(I)(NA.1)","SP01045","Aluminium","pcs","kg",5,,,"โกดังอะลูมิเนียม",,
"product.product_part_37","AL FLOOR BASE(I)(MF)","SP01046","Aluminium","pcs","kg",5,"01-04",,"โกดังอะลูมิเนียม",,
"product.product_part_38","AL FLOOR BASE(I)(OW)","SP01047","Aluminium","pcs","kg",5,"01-05",,"โกดังอะลูมิเนียม",,
"product.product_part_39","AL FLOOR BASE(I)(AP)","SP01048","Aluminium","pcs","kg",5,"01-05",,"โกดังอะลูมิเนียม",,
"product.product_part_40","AL PROFILE FOR LIGHTING42 mm(NA.1)","SP01049","Aluminium","pcs","kg",3,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_41","AL PROFILE FOR LIGHTING 42 mm(MF)","SP01050","Aluminium","pcs","kg",3,"01-17",,"โกดังอะลูมิเนียม",,
