"id","name","inventory_line_id/location_id","inventory_line_id/product_id/id","inventory_line_id/product_qty","inventory_line_id/product_uom"
"stock_parts_29dec13","Stock Count - Parts 29-Dec-13","RM","product.product_part_1",288,"pcs"
,,"RM","product.product_part_2",464,"pcs"
,,"RM","product.product_part_3",34,"pcs"
,,"RM","product.product_part_4",42,"pcs"
,,"RM","product.product_part_5",258,"pcs"
,,"RM","product.product_part_6",62,"pcs"
,,"RM","product.product_part_7",84,"pcs"
,,"RM","product.product_part_8",76,"pcs"
,,"RM","product.product_part_9",219,"pcs"
,,"RM","product.product_part_10",332,"pcs"
,,"RM","product.product_part_11",0,"pcs"
,,"RM","product.product_part_12",6,"pcs"
,,"RM","product.product_part_13",48,"pcs"
,,"RM","product.product_part_14",7,"pcs"
,,"RM","product.product_part_15",4,"pcs"
,,"RM","product.product_part_16",57,"pcs"
,,"RM","product.product_part_17",26,"pcs"
,,"RM","product.product_part_18",10,"pcs"
,,"RM","product.product_part_19",8,"pcs"
,,"RM","product.product_part_20",38,"pcs"
,,"RM","product.product_part_21",50,"pcs"
,,"RM","product.product_part_22",8,"pcs"
,,"RM","product.product_part_23",7,"pcs"
,,"RM","product.product_part_24",20,"pcs"
,,"RM","product.product_part_25",43,"pcs"
,,"RM","product.product_part_26",18,"pcs"
,,"RM","product.product_part_27",7,"pcs"
,,"RM","product.product_part_28",1466,"pcs"
,,"RM","product.product_part_29",0,"pcs"
,,"RM","product.product_part_30",169,"pcs"
,,"RM","product.product_part_31",51,"pcs"
,,"RM","product.product_part_32",763,"pcs"
,,"RM","product.product_part_33",0,"pcs"
,,"RM","product.product_part_34",171,"pcs"
,,"RM","product.product_part_35",23,"pcs"
,,"RM","product.product_part_36",66,"pcs"
,,"RM","product.product_part_37",99,"pcs"
,,"RM","product.product_part_38",36,"pcs"
,,"RM","product.product_part_39",10,"pcs"
,,"RM","product.product_part_40",284,"pcs"
,,"RM","product.product_part_41",371,"pcs"
,,"RM","product.product_part_42",10,"pcs"
,,"RM","product.product_part_43",7,"pcs"
,,"RM","product.product_part_44",0,"pcs"
,,"RM","product.product_part_45",0,"pcs"
,,"RM","product.product_part_46",61,"pcs"
,,"RM","product.product_part_47",10,"pcs"
,,"RM","product.product_part_47-1",6,"pcs"
,,"RM","product.product_part_48",59,"pcs"
,,"RM","product.product_part_49",0,"pcs"
,,"RM","product.product_part_50",1,"pcs"
,,"RM","product.product_part_51",10,"pcs"
,,"RM","product.product_part_52",62,"pcs"
,,"RM","product.product_part_53",0,"pcs"
,,"RM","product.product_part_54",0,"pcs"
,,"RM","product.product_part_55",0,"pcs"
,,"RM","product.product_part_56",143,"pcs"
,,"RM","product.product_part_57",0,"pcs"
,,"RM","product.product_part_58",54,"pcs"
,,"RM","product.product_part_59",0,"pcs"
,,"RM","product.product_part_60",69,"pcs"
,,"RM","product.product_part_61",0,"pcs"
,,"RM","product.product_part_62",60,"pcs"
,,"RM","product.product_part_63",15,"pcs"
,,"RM","product.product_part_64",38,"pcs"
,,"RM","product.product_part_65",195,"pcs"
,,"RM","product.product_part_66",34,"pcs"
,,"RM","product.product_part_67",41,"pcs"
,,"RM","product.product_part_68",77,"pcs"
,,"RM","product.product_part_69",57,"pcs"
,,"RM","product.product_part_70",16,"pcs"
,,"RM","product.product_part_71",43,"pcs"
,,"RM","product.product_part_72",70,"pcs"
,,"RM","product.product_part_73",0,"pcs"
,,"RM","product.product_part_74",1,"pcs"
,,"RM","product.product_part_75",0,"pcs"
,,"RM","product.product_part_76",408,"pcs"
,,"RM","product.product_part_77",652,"pcs"
,,"RM","product.product_part_78",970,"pcs"
,,"RM","product.product_part_79",87,"pcs"
,,"RM","product.product_part_80",96,"pcs"
,,"RM","product.product_part_81",16,"pcs"
,,"RM","product.product_part_82",20,"pcs"
,,"RM","product.product_part_83",272,"pcs"
,,"RM","product.product_part_84",0,"pcs"
,,"RM","product.product_part_85",24,"pcs"
,,"RM","product.product_part_86",44,"pcs"
,,"RM","product.product_part_87",0,"pcs"
,,"RM","product.product_part_88",54,"pcs"
,,"RM","product.product_part_89",26,"pcs"
,,"RM","product.product_part_90",1,"pcs"
