id,name,description_sale,description_purchase,default_code,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_product_1,Wall T25 PU.Foam Color steel sheet/Color steel sheet,,,P10001,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1200,
product_product_2,Wall T25 PU.Foam Color steel sheet/Galvanized steel sheet,,,P10002,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1150,
product_product_3,Wall T25 PU.Foam Galvanized steel sheet/Galvanized steel sheet,,,P10003,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1150,
product_product_4,Wall T25 PU.Foam Galvanized steel sheet/Galvanized steel sheet,,,P10004,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1100,
product_product_5,Wall T25 PU.Foam Stainless steel 304/Stainless steel 304,,,P10005,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2700,
product_product_6,Wall T25 PU.Foam Color steel sheet/Stainless steel 304,,,P10006,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1950,
product_product_7,Wall T25 PU.Foam Galvanized steel sheet/Stainless steel 305,,,P10007,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1900,
product_product_8,Wall T42 PU.Foam Color steel sheet/Color steel sheet,,,P10008,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1350,
product_product_9,Wall T42 PU.Foam Color steel sheet/Galvanized steel sheet,,,P10009,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1300,
product_product_10,Wall T42 PU.Foam Galvanized steel sheet/Galvanized steel sheet,,,P10010,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1250,
product_product_11,Wall T42 PU.Foam Stainless steel 304/Stainless steel 304,,,P10011,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2850,
product_product_12,Wall T42 PU.Foam Color steel sheet/Stainless steel 304,,,P10012,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2100,
product_product_13,Wall T42 PU.Foam Galvanized steel sheet/Stainless steel 305,,,P10013,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2050,
product_product_14,Wall T50 PU.Foam Color steel sheet/Color steel sheet,,,P10014,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1540,
product_product_15,Wall T50 PU.Foam Color steel sheet/Galvanized steel sheet,,,P10015,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1500,
product_product_16,Wall T50 PU.Foam Galvanized steel sheet/Galvanized steel sheet,,,P10016,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1450,
product_product_17,Wall T50 PU.Foam Stainless steel 304/Stainless steel 304,,,P10017,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,3040,
product_product_18,Wall T50 PU.Foam Color steel sheet/Stainless steel 304,,,P10018,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2290,
product_product_19,Wall T50 PU.Foam Galvanized steel sheet/Stainless steel 305,,,P10019,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2250,
product_product_20,Wall T75 PU.Foam Color steel sheet/Color steel sheet,,,P10020,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1900,
product_product_21,Wall T75 PU.Foam Color steel sheet/Galvanized steel sheet,,,P10021,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1850,
product_product_22,Wall T75 PU.Foam Galvanized steel sheet/Galvanized steel sheet,,,P10022,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1800,
product_product_23,Wall T75 PU.Foam Stainless steel 304/Stainless steel 304,,,P10023,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,3400,
product_product_24,Wall T75 PU.Foam Color steel sheet/Stainless steel 304,,,P10024,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2650,
product_product_25,Wall T75 PU.Foam Galvanized steel sheet/Stainless steel 305,,,P10025,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2600,
product_product_26,Wall T100 PU.Foam Color steel sheet/Color steel sheet,,,P10026,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2000,
product_product_27,Wall T100 PU.Foam Color steel sheet/Galvanized steel sheet,,,P10027,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1900,
