id,name,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price
product_coldroom_1,Wall panel (T) 50 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1540
product_coldroom_2,Ceiling panel (T) 50 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1600
product_coldroom_3,Floor panel (T) 50 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,5700
product_coldroom_4,Floor insulation (T) 50 mm.,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,900
product_coldroom_5,Room lamp (Water proof type),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,10000
product_coldroom_6,"Single swing door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 50 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,35000
product_coldroom_7,"Single swing door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 50 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,40000
product_coldroom_8,"Single swing door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 50 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,38000
product_coldroom_9,"Single swing door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 50 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,43000
product_coldroom_10,"Double swing door (3 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 50 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,86000
