id,bom_id/id,product_id,product_qty_formula,product_uom
mrp.template_roofjoint_line_1,mrp.template_roofjoint,[SP05058],(line.W==1000) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1220*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_roofjoint_line_2,mrp.template_roofjoint,[R&D-SP00035],(line.W==1000) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and (1220*line.L/1000000*3.20*2) or 0.0,kg
mrp.template_roofjoint_line_3,mrp.template_roofjoint,[SP05058],(line.W==1000) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (1220*line.L/1000000*3.75) or 0.0,kg
mrp.template_roofjoint_line_4,mrp.template_roofjoint,[R&D-SP00035],(line.W==1000) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (1220*line.L/1000000*3.20) or 0.0,kg
mrp.template_roofjoint_line_5,mrp.template_roofjoint,[R&D-SP00035],(line.W==1000) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (1220*line.L/1000000*3.20) or 0.0,kg
mrp.template_roofjoint_line_6,mrp.template_roofjoint,[SP05058],(line.W==1000) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (1220*line.L/1000000*3.75) or 0.0,kg
mrp.template_roofjoint_line_7,mrp.template_roofjoint,[R&D-SP00036],(line.W==800) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (line.L/916/1000*2) or 0.0,roll
mrp.template_roofjoint_line_8,mrp.template_roofjoint,[R&D-SP00037],(line.W==1000) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (line.L/1110/1000*2) or 0.0,roll
mrp.template_roofjoint_line_9,mrp.template_roofjoint,[R&D-SP00038],(line.W==1110) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (line.L/1219/1000*2) or 0.0,roll
mrp.template_roofjoint_line_10,mrp.template_roofjoint,[R&D-SP00036],(line.W==800) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (line.L/916/1000*1) or 0.0,roll
mrp.template_roofjoint_line_11,mrp.template_roofjoint,[R&D-SP00037],(line.W==1000) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (line.L/1110/1000*1) or 0.0,roll
mrp.template_roofjoint_line_12,mrp.template_roofjoint,[R&D-SP00038],(line.W==1110) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (line.L/1219/1000*1) or 0.0,roll
mrp.template_roofjoint_line_13,mrp.template_roofjoint,[SP05048],(line.mat_insulation_choices.code=='PU') and (line.W*line.L*line.T.value/1000000000*40*0.437*1.13) or 0.0,kg
mrp.template_roofjoint_line_14,mrp.template_roofjoint,[SP05049],(line.mat_insulation_choices.code=='PU') and (line.W*line.L*line.T.value/1000000000*40*0.563*1.13) or 0.0,kg
mrp.template_roofjoint_line_15,mrp.template_roofjoint,[SP05048],(line.mat_insulation_choices.code=='PIR') and (line.W*line.L*line.T.value/1000000000*40*0.437*1.13) or 0.0,kg
mrp.template_roofjoint_line_16,mrp.template_roofjoint,[SP05049],(line.mat_insulation_choices.code=='PIR') and (line.W*line.L*line.T.value/1000000000*40*0.563*1.13) or 0.0,kg
mrp.template_roofjoint_line_17,mrp.template_roofjoint,[SP05023],(line.mat_insulation_choices.code=='PIR') and (line.W*line.L*line.T.value/1000000000*36*0.044*1.2*1.05) or 0.0,kg
mrp.template_roofjoint_line_18,mrp.template_roofjoint,[SP05046],(line.mat_insulation_choices.code=='PIR') and (line.W*line.L*line.T.value/1000000000*53.482*0.072*1.2*1.0*0.85) or 0.0,kg
