id,machine_id/id,thickness,density,settime
product_bom_template.master_slipjoint_pir_line_1,product_bom_template.master_slipjoint_pir,20,45,20
product_bom_template.master_slipjoint_pir_line_2,product_bom_template.master_slipjoint_pir,25,45,25
product_bom_template.master_slipjoint_pir_line_3,product_bom_template.master_slipjoint_pir,42,45,30
product_bom_template.master_slipjoint_pir_line_4,product_bom_template.master_slipjoint_pir,50,45,35
product_bom_template.master_slipjoint_pir_line_5,product_bom_template.master_slipjoint_pir,75,45,40
product_bom_template.master_slipjoint_pir_line_6,product_bom_template.master_slipjoint_pir,100,45,45
product_bom_template.master_slipjoint_pir_line_7,product_bom_template.master_slipjoint_pir,150,45,45
product_bom_template.master_slipjoint_pir_line_8,product_bom_template.master_slipjoint_pir,175,45,45
product_bom_template.master_slipjoint_pir_line_9,product_bom_template.master_slipjoint_pir,200,45,45
product_bom_template.master_slipjoint_pu_line_1,product_bom_template.master_slipjoint_pu,20,45,20
product_bom_template.master_slipjoint_pu_line_2,product_bom_template.master_slipjoint_pu,25,45,25
product_bom_template.master_slipjoint_pu_line_3,product_bom_template.master_slipjoint_pu,42,45,30
product_bom_template.master_slipjoint_pu_line_4,product_bom_template.master_slipjoint_pu,50,45,35
product_bom_template.master_slipjoint_pu_line_5,product_bom_template.master_slipjoint_pu,75,45,40
product_bom_template.master_slipjoint_pu_line_6,product_bom_template.master_slipjoint_pu,100,45,45
product_bom_template.master_slipjoint_pu_line_7,product_bom_template.master_slipjoint_pu,150,45,45
product_bom_template.master_slipjoint_pu_line_8,product_bom_template.master_slipjoint_pu,175,45,45
product_bom_template.master_slipjoint_pu_line_9,product_bom_template.master_slipjoint_pu,200,45,45
product_bom_template.master_secretjoint_pir_line_1,product_bom_template.master_secretjoint_pir,20,45,20
product_bom_template.master_secretjoint_pir_line_2,product_bom_template.master_secretjoint_pir,25,45,25
product_bom_template.master_secretjoint_pir_line_3,product_bom_template.master_secretjoint_pir,42,45,30
product_bom_template.master_secretjoint_pir_line_4,product_bom_template.master_secretjoint_pir,50,45,35
product_bom_template.master_secretjoint_pir_line_5,product_bom_template.master_secretjoint_pir,75,45,40
product_bom_template.master_secretjoint_pir_line_6,product_bom_template.master_secretjoint_pir,100,45,45
product_bom_template.master_secretjoint_pir_line_7,product_bom_template.master_secretjoint_pir,150,45,45
product_bom_template.master_secretjoint_pir_line_8,product_bom_template.master_secretjoint_pir,175,45,45
product_bom_template.master_secretjoint_pir_line_9,product_bom_template.master_secretjoint_pir,200,45,45
product_bom_template.master_secretjoint_pu_line_1,product_bom_template.master_secretjoint_pu,20,45,20
product_bom_template.master_secretjoint_pu_line_2,product_bom_template.master_secretjoint_pu,25,45,25
product_bom_template.master_secretjoint_pu_line_3,product_bom_template.master_secretjoint_pu,42,45,30
product_bom_template.master_secretjoint_pu_line_4,product_bom_template.master_secretjoint_pu,50,45,35
product_bom_template.master_secretjoint_pu_line_5,product_bom_template.master_secretjoint_pu,75,45,40
product_bom_template.master_secretjoint_pu_line_6,product_bom_template.master_secretjoint_pu,100,45,45
product_bom_template.master_secretjoint_pu_line_7,product_bom_template.master_secretjoint_pu,150,45,45
product_bom_template.master_secretjoint_pu_line_8,product_bom_template.master_secretjoint_pu,175,45,45
product_bom_template.master_secretjoint_pu_line_9,product_bom_template.master_secretjoint_pu,200,45,45
product_bom_template.master_roofjoint_pir_line_1,product_bom_template.master_roofjoint_pir,20,45,20
product_bom_template.master_roofjoint_pir_line_2,product_bom_template.master_roofjoint_pir,25,45,25
product_bom_template.master_roofjoint_pir_line_3,product_bom_template.master_roofjoint_pir,42,45,30
product_bom_template.master_roofjoint_pir_line_4,product_bom_template.master_roofjoint_pir,50,45,35
product_bom_template.master_roofjoint_pir_line_5,product_bom_template.master_roofjoint_pir,75,45,40
product_bom_template.master_roofjoint_pir_line_6,product_bom_template.master_roofjoint_pir,100,45,45
product_bom_template.master_roofjoint_pir_line_7,product_bom_template.master_roofjoint_pir,150,45,45
product_bom_template.master_roofjoint_pir_line_8,product_bom_template.master_roofjoint_pir,175,45,45
product_bom_template.master_roofjoint_pir_line_9,product_bom_template.master_roofjoint_pir,200,45,45
product_bom_template.master_roofjoint_pu_line_1,product_bom_template.master_roofjoint_pu,20,45,20
product_bom_template.master_roofjoint_pu_line_2,product_bom_template.master_roofjoint_pu,25,45,25
product_bom_template.master_roofjoint_pu_line_3,product_bom_template.master_roofjoint_pu,42,45,30
product_bom_template.master_roofjoint_pu_line_4,product_bom_template.master_roofjoint_pu,50,45,35
product_bom_template.master_roofjoint_pu_line_5,product_bom_template.master_roofjoint_pu,75,45,40
product_bom_template.master_roofjoint_pu_line_6,product_bom_template.master_roofjoint_pu,100,45,45
product_bom_template.master_roofjoint_pu_line_7,product_bom_template.master_roofjoint_pu,150,45,45
product_bom_template.master_roofjoint_pu_line_8,product_bom_template.master_roofjoint_pu,175,45,45
product_bom_template.master_roofjoint_pu_line_9,product_bom_template.master_roofjoint_pu,200,45,45
product_bom_template.master_board_pir_line_1,product_bom_template.master_board_pir,20,45,20
product_bom_template.master_board_pir_line_2,product_bom_template.master_board_pir,25,45,25
product_bom_template.master_board_pir_line_3,product_bom_template.master_board_pir,42,45,30
product_bom_template.master_board_pir_line_4,product_bom_template.master_board_pir,50,45,35
product_bom_template.master_board_pir_line_5,product_bom_template.master_board_pir,75,45,40
