id,config_id/id,thickness,total_panel
product_bom_template.pallet_config_line_1,product_bom_template.pallet_config_1,42,23
product_bom_template.pallet_config_line_2,product_bom_template.pallet_config_1,50,20
product_bom_template.pallet_config_line_3,product_bom_template.pallet_config_1,75,13
product_bom_template.pallet_config_line_4,product_bom_template.pallet_config_1,100,10
product_bom_template.pallet_config_line_5,product_bom_template.pallet_config_1,125,8
product_bom_template.pallet_config_line_6,product_bom_template.pallet_config_1,150,6
product_bom_template.pallet_config_line_7,product_bom_template.pallet_config_1,175,5
product_bom_template.pallet_config_line_8,product_bom_template.pallet_config_1,200,5
product_bom_template.pallet_config_line_9,product_bom_template.pallet_config_2,42,26
product_bom_template.pallet_config_line_10,product_bom_template.pallet_config_2,50,22
product_bom_template.pallet_config_line_11,product_bom_template.pallet_config_2,75,14
product_bom_template.pallet_config_line_12,product_bom_template.pallet_config_2,100,11
product_bom_template.pallet_config_line_13,product_bom_template.pallet_config_2,125,8
product_bom_template.pallet_config_line_14,product_bom_template.pallet_config_2,150,7
product_bom_template.pallet_config_line_15,product_bom_template.pallet_config_2,175,6
product_bom_template.pallet_config_line_16,product_bom_template.pallet_config_2,200,5
product_bom_template.pallet_config_line_17,product_bom_template.pallet_config_3,50,20
product_bom_template.pallet_config_line_18,product_bom_template.pallet_config_3,75,13
product_bom_template.pallet_config_line_19,product_bom_template.pallet_config_3,100,10
product_bom_template.pallet_config_line_20,product_bom_template.pallet_config_4,50,22
product_bom_template.pallet_config_line_21,product_bom_template.pallet_config_4,75,14
product_bom_template.pallet_config_line_22,product_bom_template.pallet_config_4,100,11
product_bom_template.pallet_config_line_23,product_bom_template.pallet_config_5,25,22
product_bom_template.pallet_config_line_24,product_bom_template.pallet_config_5,50,15
product_bom_template.pallet_config_line_25,product_bom_template.pallet_config_6,25,25
product_bom_template.pallet_config_line_26,product_bom_template.pallet_config_6,50,16
product_bom_template.pallet_config_line_27,product_bom_template.pallet_config_7,50,20
product_bom_template.pallet_config_line_28,product_bom_template.pallet_config_7,100,10
product_bom_template.pallet_config_line_29,product_bom_template.pallet_config_8,50,22
product_bom_template.pallet_config_line_30,product_bom_template.pallet_config_8,100,11
