"id","name"
"hr_department_1","ตัดเหล็ก Line 1"
"hr_department_2","ตัดเหล็ก Line 2"
"hr_department_3","ตัดเหล็ก Line 3"
"hr_department_4","ฉีดโฟม Line 1"
"hr_department_5","ฉีดโฟม Line 2"
"hr_department_6","ฉีดโฟม Line 3"
"hr_department_7","ฉีดโฟม Line 4"
"hr_department_8","ประกอบแผ่น"
"hr_department_9","ประกอบประตู"
"hr_department_10","ประกอบกระจก"
"hr_department_11","ประตูสำเร็จรูป"
"hr_department_12","สินค้าสำเร็จรูป"
"hr_department_13","คลังสินค้า"
"hr_department_14","คลังวัตถุดิบ"
"hr_department_15","ควบคุมคุณภาพ"
"hr_department_16","พ่นสี"
"hr_department_17","ซ่อมบำรุง"
"hr_department_18","บุคคลโรงงาน"
"hr_department_19","ถอดแบบ"
"hr_department_20","บริการ/ติดตั้ง"
"hr_department_21","สำนักงานใหญ่"
"hr_department_22","บริหารสูงสุด"
"hr_department_23","แผนก IT"
"hr_department_24","แผนกขาย"
"hr_department_25","แผนกเขียนแบบ"
"hr_department_26","แผนกจัดซื้อ"
"hr_department_27","แผนกซ่อมบำรุง"
"hr_department_28","แผนกติดตั้ง"
"hr_department_29","แผนกบริหารงานคุณภาพ"
"hr_department_30","แผนกบัญชีและการเงิน"
"hr_department_31","แผนกบุคคล"
"hr_department_32","แผนกวิศวกรรม"
"hr_department_33","ฝ่ายติดตั้ง"
"hr_department_34","ฝ่ายนำเข้าและส่งออก"
"hr_department_35","ฝ่ายบริหารสำนักงานใหญ่"
"hr_department_36","ฝ่ายบัญชีและการเงิน"
"hr_department_37","ฝ่ายผลิต"
"hr_department_38","ฝ่ายวิศวกรรมและ R&D"
