id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_clean_room_1,Wall Panel (T) 25 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1200,Output VAT 7%,Input VAT
product.product_clean_room_2,Wall Panel (T) 25 mm. Polyurethane Foam (Color / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1150,Output VAT 7%,Input VAT
product.product_clean_room_3,Wall Panel (T) 25 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1100,Output VAT 7%,Input VAT
product.product_clean_room_4,Wall Panel (T) 42 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1350,Output VAT 7%,Input VAT
product.product_clean_room_5,Wall Panel (T) 42 mm. Polyurethane Foam (Color / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1300,Output VAT 7%,Input VAT
product.product_clean_room_6,Wall Panel (T) 42 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1250,Output VAT 7%,Input VAT
product.product_clean_room_7,Wall Panel (T) 50 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1540,Output VAT 7%,Input VAT
product.product_clean_room_8,Wall Panel (T) 50 mm. Polyurethane Foam (Color / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1500,Output VAT 7%,Input VAT
product.product_clean_room_9,Wall Panel (T) 50 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1450,Output VAT 7%,Input VAT
product.product_clean_room_10,Wall Panel (T) 75 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1900,Output VAT 7%,Input VAT
product.product_clean_room_11,Wall Panel (T) 75 mm. Polyurethane Foam (Color / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1850,Output VAT 7%,Input VAT
product.product_clean_room_12,Wall Panel (T) 75 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1800,Output VAT 7%,Input VAT
product.product_clean_room_13,Wall Panel (T) 100 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,2000,Output VAT 7%,Input VAT
product.product_clean_room_14,Wall Panel (T) 100 mm. Polyurethane Foam (Color / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1900,Output VAT 7%,Input VAT
product.product_clean_room_15,Wall Panel (T) 100 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1850,Output VAT 7%,Input VAT
product.product_clean_room_16,Ceiling Panel (T) 25 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1200,Output VAT 7%,Input VAT
