id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_non_progressive_1,NPS-Wall panel 50 mm. - Surface material : Color steel sheet 0.5 mm. - Al frame - Non Progressive joint - Insulation PU 50 mm. Class SE B-3,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,2500,Output VAT,Input VAT
product.product_non_progressive_2,NPS-Ceiling panel 75 mm. - Surface material : Color steel sheet 0.5 mm. - Al frame - Non Progressive joint - Insulation PU 50 mm. Class SE B-3,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,2800,Output VAT,Input VAT
product.product_non_progressive_3,NPS-PVC Coving (For wall 50 mm.),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,800,Output VAT,Input VAT
product.product_non_progressive_4,NPS-Aluminium coving (For wall 50 mm.),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,1200,Output VAT,Input VAT
product.product_non_progressive_5,NPS-Floor Base AL (For wall 50 mm.),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,950,Output VAT,Input VAT
product.product_non_progressive_6,NPS-Others accessories (For wall 50 mm.),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,450,Output VAT,Input VAT
product.product_non_progressive_7,NPS-Hanging + Beam for Ceiling,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,1200,Output VAT,Input VAT
product.product_non_progressive_8,NPS-Flat Type Window - Temper glass Size : 1200 x 1000 x 50 mm.  ,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,12000,Output VAT,Input VAT
product.product_non_progressive_9,NPS-Flat Type Window - Temper glass Size : 1200 x 2100 x 50 mm.  ,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,22000,Output VAT,Input VAT
product.product_non_progressive_10,NPS-Single Swing Flat Type Door Surface : Color/Color - Size : 900 x 2100 x 50 mm. - Handle SUS,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,25000,Output VAT,Input VAT
product.product_non_progressive_11,NPS-Single Swing Flat Type Door Surface : Stainless/Stainless - Size : 900 x 2100 x 50 mm. - Handle SUS,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,30000,Output VAT,Input VAT
product.product_non_progressive_12,NPS-Double Swing Flat Type Door Surface : Color/Color - Size : 1800 x 2100 x 50 mm. - Handle SUS,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,35000,Output VAT,Input VAT
product.product_non_progressive_13,NPS-Double Swing Flat Type Door Surface : Stainless/Stainless - Size : 900 x 2100 x 50 mm. - Handle SUS,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT,Input VAT
product.product_non_progressive_14,NPS-Lighting Concealed Type - 1 x 36 watt,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,2500,Output VAT,Input VAT
product.product_non_progressive_15,NPS-Aluminium frame with cutting,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,1200,Output VAT,Input VAT
product.product_non_progressive_16,"NPS-Single Swing Flat Type Door FULL GLASS : 900 x 2,100 mm.",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,45000,Output VAT,Input VAT
product.product_non_progressive_17,"NPS-Double Glass Flat Type Door FULL GLASS : 1,800 x 2,100 mm.",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,55000,Output VAT,Input VAT
