id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_std-ahu-bgrim_1,39GAP02-05  ACCESS DOOR  013007,463P0001,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,109,Output VAT,Input VAT
product.product_std-ahu-bgrim_2,39GAP02-06  ACCESS DOOR  013008,463P0002,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,131,Output VAT,Input VAT
product.product_std-ahu-bgrim_3,39GAP02-07  ACCESS DOOR  013009,463P0003,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,153,Output VAT,Input VAT
product.product_std-ahu-bgrim_4,39GAP02-08  ACCESS DOOR  013010,463P0004,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,174,Output VAT,Input VAT
product.product_std-ahu-bgrim_5,39GAP02-09  ACCESS DOOR  013011,463P0005,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,196,Output VAT,Input VAT
product.product_std-ahu-bgrim_6,39GAP02-10  ACCESS DOOR  013012,463P0006,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,218,Output VAT,Input VAT
product.product_std-ahu-bgrim_7,39GAP02-11  ACCESS DOOR  013013,463P0007,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,240,Output VAT,Input VAT
product.product_std-ahu-bgrim_8,39GAP02-12  ACCESS DOOR  013014,463P0008,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,261,Output VAT,Input VAT
product.product_std-ahu-bgrim_9,39GAP02-13  ACCESS DOOR  013015,463P0009,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,283,Output VAT,Input VAT
product.product_std-ahu-bgrim_10,39GAP02-14  ACCESS DOOR  013016,463P0010,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,305,Output VAT,Input VAT
product.product_std-ahu-bgrim_11,39GAP02-15  ACCESS DOOR  013017,463P0011,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,327,Output VAT,Input VAT
product.product_std-ahu-bgrim_12,39GAP02-16  ACCESS DOOR  013018,463P0012,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,349,Output VAT,Input VAT
product.product_std-ahu-bgrim_13,39GAP02-17  ACCESS DOOR  013019,463P0013,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,370,Output VAT,Input VAT
product.product_std-ahu-bgrim_14,39GAP02-18  ACCESS DOOR  013020,463P0014,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,392,Output VAT,Input VAT
product.product_std-ahu-bgrim_15,39GAP02-19  ACCESS DOOR  013021,463P0015,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,414,Output VAT,Input VAT
product.product_std-ahu-bgrim_16,39GAP02-20  ACCESS DOOR  013022,463P0016,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,436,Output VAT,Input VAT
product.product_std-ahu-bgrim_17,39GAP02-21  ACCESS DOOR  013023,463P0017,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,457,Output VAT,Input VAT
product.product_std-ahu-bgrim_18,39GAP02-22  ACCESS DOOR  013024,463P0018,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,479,Output VAT,Input VAT
product.product_std-ahu-bgrim_19,39GAP02-23  ACCESS DOOR  013025,463P0019,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,501,Output VAT,Input VAT
product.product_std-ahu-bgrim_20,39GAP02-24  ACCESS DOOR  013026,463P0020,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,523,Output VAT,Input VAT
product.product_std-ahu-bgrim_21,39GAP02-25  ACCESS DOOR  013027,463P0021,Standard AHU,"B.Grimm Airconditioning Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,545,Output VAT,Input VAT
