"id","name","parent_id","type"
"product.product_categ_new_01","ที่ดิน","Fixed Assets","Normal"
"product.product_categ_new_02","ส่วนปรับปรุงที่ดิน","Fixed Assets","Normal"
"product.product_categ_new_03","อาคารและสิ่งปลูกสร้าง","Fixed Assets","Normal"
"product.product_categ_new_04","อาคารและสิ่งปลูกสร้าง-BOI1","Fixed Assets","Normal"
"product.product_categ_new_05","เครื่องใช้สำนักงาน","Fixed Assets","Normal"
"product.product_categ_new_06","เครื่องใช้สำนักงาน-BOI1","Fixed Assets","Normal"
"product.product_categ_new_07","เครื่องใช้สำนักงานโรงงาน","Fixed Assets","Normal"
"product.product_categ_new_08","เครื่องใช้สำนักงานโรงงาน-BOI1","Fixed Assets","Normal"
"product.product_categ_new_09","โปรแกรมคอมพิวเตอร์","Fixed Assets","Normal"
"product.product_categ_new_10","โปรแกรมคอมพิวเตอร์-BOI1","Fixed Assets","Normal"
"product.product_categ_new_11","อุปกรณ์สำนักงาน","Fixed Assets","Normal"
"product.product_categ_new_12","อุปกรณ์สำนักงาน-BOI1","Fixed Assets","Normal"
"product.product_categ_new_13","เครื่องตกแต่งสำนักงาน","Fixed Assets","Normal"
"product.product_categ_new_14","เครื่องตกแต่งสำนักงาน-BOI1","Fixed Assets","Normal"
"product.product_categ_new_15","เครื่องมือเครื่องใช้","Fixed Assets","Normal"
"product.product_categ_new_16","เครื่องมือเครื่องใช้-BOI1","Fixed Assets","Normal"
"product.product_categ_new_17","อุปกรณ์ในโรงงาน","Fixed Assets","Normal"
"product.product_categ_new_18","อุปกรณ์ในโรงงาน-BOI1","Fixed Assets","Normal"
"product.product_categ_new_19","อุปกรณ์เครื่องจักร","Fixed Assets","Normal"
"product.product_categ_new_20","อุปกรณ์เครื่องจักร-BOI1","Fixed Assets","Normal"
"product.product_categ_new_21","ยานพาหนะ","Fixed Assets","Normal"
"product.product_categ_new_22","ยานพาหนะ-BOI1","Fixed Assets","Normal"
"product.product_categ_new_23","เครื่องจักร","Fixed Assets","Normal"
"product.product_categ_new_24","เครื่องจักร-BOI1","Fixed Assets","Normal"
