"id","wizard_id/id","bom_product_type","mat_model_choices","part_name","part_code","bom_template_id","W","L","T","mat_joint_choices","mat_inside_skin_choices","mat_outside_skin_choices","mat_insulation_choices","list_price","partner_id"
"Amair_AG_line_1","Amair_AG","panel","Amair AG","PNL ASSY 25MM 0204 CL/GI","362-1AG0204CLGI","Standard AHU",304,614,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",514,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_2","Amair_AG","panel","Amair AG","PNL ASSY 25MM 0206 CL/GI","362-1AG0206CLGI","Standard AHU",304,924,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",737,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_3","Amair_AG","panel","Amair AG","PNL ASSY 25MM 0406 CL/GI","362-1AG0406CLGI","Standard AHU",614,924,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",949,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_4","Amair_AG","panel","Amair AG","PNL ASSY 25MM 0506 CL/GI","362-1AG0506CLGI","Standard AHU",769,924,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",1300,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_5","Amair_AG","panel","Amair AG","PNL ASSY 50MM 0204 CL/GI","362-2AG0204CLGI","Standard AHU",304,614,50,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",616,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_6","Amair_AG","panel","Amair AG","PNL ASSY 50MM 0404 CL/GI","362-2AG0404CLGI","Standard AHU",614,614,50,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",2274,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_7","Amair_AG","panel","Amair AG","PNL ASSY 50MM 0406 CL/GI","362-2AG0406CLGI","Standard AHU",614,924,50,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",1005,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_8","Amair_AG","panel","Amair AG","PNL ASSY 50MM 0506 CL/GI","362-2AG0506CLGI","Standard AHU",769,924,50,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",1281,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_9","Amair_AG","panel","Amair AG","PNL ASSY 50MM 0508 CL/CL","362-2AG0508CLCL","Standard AHU",769,1234,50,"NN (None-None)","0.5 mm PP (OW)","0.5 mm PP (OW)","PU",2111,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_10","Amair_AG","panel","Amair AG","PNL ASSY 50MM 0508 CL/GI","362-2AG0508CLGI","Standard AHU",769,1234,50,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",2061,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_11","Amair_AG","panel","Amair AG","PNL ASSY 25MM 0208 CL/GI","999-1AG0208CLGI","Standard AHU",304,1234,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",633,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_12","Amair_AG","panel","Amair AG","PNL ASSY 25MM 0209 CL/GI","999-1AG0209CLGI","Standard AHU",304,1389,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",683,"บริษัท แอมแอร์ จำกัด"
"Amair_AG_line_13","Amair_AG","panel","Amair AG","PANEL ASSY 25MM 0307 CL/GI","999-1AG0307CLGI","Standard AHU",459,1079,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",953,"บริษัท แอมแอร์ จำกัด"
