"id","wizard_id/id","bom_product_type","mat_model_choices","part_name","part_code","bom_template_id","W","L","T","mat_joint_choices","mat_inside_skin_choices","mat_outside_skin_choices","mat_insulation_choices","list_price","partner_id"
"B_Grimm_Access_line_1","B_Grimm_Access","panel","B.Grimm Access","39GAP02-05  ACCESS DOOR  013007","463P0001","Standard AHU",196,496,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",109,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_2","B_Grimm_Access","panel","B.Grimm Access","39GAP02-06  ACCESS DOOR  013008","463P0002","Standard AHU",196,596,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",131,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_3","B_Grimm_Access","panel","B.Grimm Access","39GAP02-07  ACCESS DOOR  013009","463P0003","Standard AHU",196,696,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",153,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_4","B_Grimm_Access","panel","B.Grimm Access","39GAP02-08  ACCESS DOOR  013010","463P0004","Standard AHU",196,796,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",174,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_5","B_Grimm_Access","panel","B.Grimm Access","39GAP02-09  ACCESS DOOR  013011","463P0005","Standard AHU",196,896,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",196,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_6","B_Grimm_Access","panel","B.Grimm Access","39GAP02-10  ACCESS DOOR  013012","463P0006","Standard AHU",196,996,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",218,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_7","B_Grimm_Access","panel","B.Grimm Access","39GAP02-11  ACCESS DOOR  013013","463P0007","Standard AHU",196,1096,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",240,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_8","B_Grimm_Access","panel","B.Grimm Access","39GAP02-12  ACCESS DOOR  013014","463P0008","Standard AHU",196,1196,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",261,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_9","B_Grimm_Access","panel","B.Grimm Access","39GAP02-13  ACCESS DOOR  013015","463P0009","Standard AHU",196,1296,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",283,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_10","B_Grimm_Access","panel","B.Grimm Access","39GAP02-14  ACCESS DOOR  013016","463P0010","Standard AHU",196,1396,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",305,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_11","B_Grimm_Access","panel","B.Grimm Access","39GAP02-15  ACCESS DOOR  013017","463P0011","Standard AHU",196,1496,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",327,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_12","B_Grimm_Access","panel","B.Grimm Access","39GAP02-16  ACCESS DOOR  013018","463P0012","Standard AHU",196,1596,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",349,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_13","B_Grimm_Access","panel","B.Grimm Access","39GAP02-17  ACCESS DOOR  013019","463P0013","Standard AHU",196,1696,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",370,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_14","B_Grimm_Access","panel","B.Grimm Access","39GAP02-18  ACCESS DOOR  013020","463P0014","Standard AHU",196,1796,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",392,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_15","B_Grimm_Access","panel","B.Grimm Access","39GAP02-19  ACCESS DOOR  013021","463P0015","Standard AHU",196,1896,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",414,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_16","B_Grimm_Access","panel","B.Grimm Access","39GAP02-20  ACCESS DOOR  013022","463P0016","Standard AHU",196,1996,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",436,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
"B_Grimm_Access_line_17","B_Grimm_Access","panel","B.Grimm Access","39GAP02-21  ACCESS DOOR  013023","463P0017","Standard AHU",196,2096,25,"NN (None-None)","0.4 mm GI","0.5 mm PP (OW)","PU",457,"บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด"
