id,name,code,parent_id/id,type,user_type/id,reconcile
coa_sqp_0,บริษัท สแควร์ พาแนล ซิสเต็ม จำกัด,0,,View,account.data_account_type_view,FALSE
coa_sqp_1,งบแสดงฐานะการเงิน,1,coa_sqp_0,View,account.data_account_type_view,FALSE
coa_sqp_10,สินทรัพย์,10,coa_sqp_1,View,account.data_account_type_view,FALSE
coa_sqp_101,สินทรัพย์หมุนเวียน,101,coa_sqp_10,View,account.data_account_type_view,FALSE
coa_sqp_1001,เงินสดและเงินฝากธนาคาร,1001,coa_sqp_101,View,account.data_account_type_view,FALSE
coa_sqp_100110,เงินสด,100110,coa_sqp_1001,Liquidity,account.data_account_type_cash,FALSE
coa_sqp_100120,เงินสดย่อย,100120,coa_sqp_1001,Liquidity,account.data_account_type_cash,FALSE
coa_sqp_100130,เงินฝากธนาคาร-กระแสรายวัน,100130,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100131,เงินฝากธนาคาร-กระแสรายวัน-ยูโอบี,100131,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100132,เงินฝากธนาคาร-กระแสรายวัน-กสิกรไทย,100132,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100133,เงินฝากธนาคาร-กระแสรายวัน-กรุงเทพ,100133,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100140,เงินฝากธนาคาร-ประจำ,100140,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100143,เงินฝากประจำ - ธนาคารกรุงเทพ,100143,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100150,เงินฝากธนาคาร-ออมทรัพย์,100150,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100153,เงินฝากธนาคาร-ออมทรัพย์-กรุงเทพ,100153,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100155,เงินฝากออมทรัพย์เงินต่างประเทศ-ธนาคารกรุงเทพ,100155,coa_sqp_1001,Liquidity,account.data_account_type_bank,FALSE
coa_sqp_100160,เช็ครับล่วงหน้า,100160,coa_sqp_1001,Regular,account.data_account_type_asset,FALSE
