id,name_notused,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_cust_1,ห้างหุ้นส่วนจำกัด สามที เซ็นเตอร์เซอร์วิส,3T Centerservice Limited Part,,30 Days,100000,TRUE,TRUE,FALSE,,Default,FALSE,61/70 หมู่ 6,แขวง ลำลูกกา เขต ลำลูกกา,12150,ปทุมธานี,Thailand,0-2987-1753,,0-2987-1164,,,,,Chatchai T.
res_partner_cust_2,บริษัท แอดวานซ์ ซีวิล กรุ๊ป จำกัด,"Advance Civil Group Co.,Ltd.",,30 Days,500000,TRUE,TRUE,FALSE,,Default,FALSE,295 ถ.สามเสน,แขวง วัดสามพระยา เขต พระนคร,10200,กรุงเทพมหานคร,Thailand,"0-2280-5274, 0-2280-2164",,0-2628-5568,,,,,Chatchai T.
res_partner_cust_3,บริษัท แอดวานซ์ ซีวิล กรุ๊ป จำกัด (โรงงาน),"Advance Civil Group Co.,Ltd. (Factory)",,,,FALSE,TRUE,FALSE,บริษัท แอดวานซ์ ซีวิล กรุ๊ป จำกัด,Shipping,FALSE,35/172 หมู่ 1,แขวง ตลาดขวัญ เขต เมือง,11000,นนทบุรี,Thailand,"0-2282-4280, 0-2282-6789",,,,,,,Chatchai T.
res_partner_cust_4,บริษัท แอร์โค จำกัด,"Airco Co.,Ltd.",,30 Days,1000000,TRUE,TRUE,FALSE,,Default,FALSE,1126/2 อาคาร วานิช 2 ชั้น 30-31 ถ.เพชรบุรีตัดใหม่,แขวง มักกะสัน เขต ราชเทวี,10400,กรุงเทพมหานคร,Thailand,0-2704-9999,,0-2704-9631,,,,,Chairat S.
res_partner_cust_5,บริษัท แอดวานซ์ ฟาร์มาซูติคอล แมนูแฟคเจอริ่ง จำกัด,"Advance Pharma Ceutical manufacturing Co.,Ltd.",,30 Days,20000000,TRUE,TRUE,FALSE,,Default,FALSE,601/5-8 ซอย สุทธิพร ถ.ประชาสงเคราะห์,แขวง ดินแดง เขต ดินแดง,10400,กรุงเทพมหานคร,Thailand,0-2663-2323,,0-2248-5370,,,,,Chairat S.
res_partner_cust_6,บริษัท เอ - โอเค จำกัด,"A - OK Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,19/72 หมู่ 1 หมู่บ้านรอยัลนครินทร์วิลล่า ถ.ศรีนครินทร์,แขวง หนองบอน เขต ประเวศ,10250,กรุงเทพมหานคร,Thailand,0-2743-3744-5,,0-2743-3746,,,,,Weeranuwat S.
res_partner_cust_7,บริษัท เอ.ดี.ดี เอ็นจิเนียริ่ง จำกัด,"A.D.D Engineering Co.,Ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,205 ซอย สมเด็จพระเจ้าตากสิน 18,แขวง บุคคโล เขต ธนบุรี,10600,กรุงเทพมหานคร,Thailand,0-2890-4600,,0-2890-4600,,,,,Chairat S.
res_partner_cust_8,บริษัท อารีย์ เอ็นจิเนียร์ ซัพพลายส์ จำกัด,"Aree Engineer Supplise Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,22/323 หมู่ 10 อาคาร เอเวอร์กรีน ทาวเวอร์ ชั้น 1 ซอย บางนา 56 ถ.บางนา-ตราด,แขวง บางนา เขต บางนา,10260,กรุงเทพมหานคร,Thailand,0-2751-5125,,0-2751-5124,,,,,Chatchai T.
res_partner_cust_9,ห้างหุ้นส่วนจำกัด เอ.อาร์.แอล.เอ็นจิเนียริ่ง,ARL Engineering,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,2535-2536 หมู่ 2,แขวง คลองจิก เขต บางปะอิน,13160,พระนครศรีอยุธยา,Thailand,0-3522-0766,,0-3522-0748,,,,,
res_partner_cust_10,บริษัท แอม.เจ คอนสตรัคชั่น แอนด์ แมนเนจเม้นท์ จำกัด,"AMJ Construction & Management Co.,Ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,52/478 หมู่ 7 ซอย เอกทักษิณ ถ.พหลโยธิน,แขวง หลักหก เขต เมือง,12000,ปทุมธานี,Thailand,0-2533-9977,,0-2997-7364,,,,,Dusit T.
