id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_ahu_1,PU Panel (T) 25 mm. (Galvanized/Off White steel sheet) None PVC. Frame,,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_2,PU Panel (T) 25 mm. (Off White/Off White steel sheet) None PVC. Frame,,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_3,PU Panel (T) 25 mm. (Stainless/Off White steel sheet) None PVC. Frame,,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_4,PU Panel (T) 25 mm. (Stainless/Stainless steel sheet) None PVC. Frame,,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_5,PU Panel (T) 25 mm. (Galvanized/Off White steel sheet) PVC. Frame,,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_6,PU Panel (T) 25 mm. (Off White/Off White steel sheet) PVC. Frame,,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_7,PU Panel (T) 25 mm. (Stainless/Off White steel sheet) PVC. Frame,,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_8,PU Panel (T) 25 mm. (Stainless/Stainless steel sheet) PVC. Frame,,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_9,"PU Panel (T) 25 mm. (Off White/Off White steel sheet) PVC. Frame. , Steel Flat-Bar",,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
product.product_ahu_10,"PU Panel (T) 25 mm. (Stainless/Off White steel sheet) PVC. Frame. , Steel Flat-Bar",,Non-Standard,,AHU,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT,Input VAT
