id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_cold_room_1,Wall panel (T) 50 mm. (Color steel sheet/Color steel sheet),,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1540,Output VAT,Input VAT
product.product_cold_room_2,Ceiling panel (T) 50 mm. (Color steel sheet/Color steel sheet),,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1600,Output VAT,Input VAT
product.product_cold_room_3,Floor panel (T) 50 mm. (Color steel sheet/Color steel sheet),,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,5700,Output VAT,Input VAT
product.product_cold_room_4,Floor insulation (T) 50 mm.,,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,900,Output VAT,Input VAT
product.product_cold_room_5,Room lamp (Water proof type),,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,10000,Output VAT,Input VAT
product.product_cold_room_6,"Single swing door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 50 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,35000,Output VAT,Input VAT
product.product_cold_room_7,"Single swing door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 50 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT,Input VAT
product.product_cold_room_8,"Single swing door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 50 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,38000,Output VAT,Input VAT
product.product_cold_room_9,"Single swing door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 50 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,43000,Output VAT,Input VAT
product.product_cold_room_10,"Double swing door (3 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 50 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,86000,Output VAT,Input VAT
product.product_cold_room_11,"Double swing door (3 Frame) Size : (W) 2,400 x (H) 2,000 x (T) 50 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,96000,Output VAT,Input VAT
