id,name,default_code,categ_id,partner_id,tag_ids,is_international,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_export_1,Non Progressive Wall Panel    Overall thickness : 50 mm.    Rockwool Insulation     0.8 mm. PPGL on both sides ,,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT 0%,
product.product_export_2,"Wall Accessories    Level adjustable floor track      Both sides cavity cap    Sealant    Anchor bolt, nut, washer & rivet etc.",,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT 0%,
product.product_export_3,Non Progressive Walkable False Ceiling Panel     Overall thickness : 75 mm.    Rockwool Insulation    0.8 mm. PPGL on both sides,,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT 0%,
product.product_export_4,"Ceiling Accessories    Aluminium ceiling beam    Ceiling suspension sets    Sealant    Bolt, nut washer & rivet etc.",,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT 0%,
product.product_export_5,"Hinge Doors     Sandwich Panel 50mm. thk.    0.8mm powder coated skin    Rockwool Insulation    Including SS D-handle, push plate, dismountable SS hinges,    powder coated al.door frame,door closer,    and drop seal gasket    Size 900 x 2100mm (Single)",,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,0,Output VAT 0%,
product.product_export_6,"Hinge Doors     Sandwich Panel 50mm. thk.    0.8mm powder coated skin    Rockwool Insulation    Including SS D-handle, push plate, dismountable SS hinges,    powder coated al.door frame,door closer,    and drop seal gasket    Size 1500 x 2100mm (Double)",,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,0,Output VAT 0%,
product.product_export_7,"Double Glazed Window    6 mm Tempered glass    Powder painted al.profriled frame, rectangular corner   Size 900x1000mm",,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,0,Output VAT 0%,
product.product_export_8,Return Air Riser    Hollow Size 150W x 900L x 3000H     0.8 mm. PPGI on both sides     Rockwool Insulation     with 600 x 600 mm. perforated grille & washable filter,,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,0,Output VAT 0%,
product.product_export_9,Aluminium Coving    90○ Corner (Between wall panel to wall panel)    Top Coving (From wall panel to ceiling),,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,0,Output VAT 0%,
product.product_export_10,PVC 3 way corner pieces     at junction of wall panel & false ceiling,,Export,,Clean Room,TRUE,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,pcs,pcs,Periodical (manual),0,0,Output VAT 0%,
