"id","name","default_code","categ_id","partner_id","tag_ids","sale_ok","purchase_ok","is_one_time_use","type","procure_method","supply_method","cost_method","uom_id","uom_po_id","valuation","taxes_id","supplier_taxes_id"
"product.product_mnt_1","Limit Switch 10A 250V AC TZ 7100 ใช้กับเครื่องพับหัว - ท้ายไฮดรอลิก ตัดเหล็ก Line 1","MN01000","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_2","Limit Switch รุ่น SHL - D55 ใช้ที่แผนกตัดเหล็ก Line 3","MN01001","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_3","Limit Switch D4N - 212G NO. 21Z11ZA","MN01002","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_4","Limit Switch ใช้กับเครื่องตัดอลูมิเนียม 2 หัว แผนกประตู ยี่ห้อ Tend รุ่น TZ - 8111","MN01003","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_5","Limit Switch Omron 10A  250V AC ZC - D55 ใช้ที่แผนกตัดเหล็ก Line 2 ","MN01004","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_6","Air Regulator Model : AW2000 - 02 Press:.0.05-0.85MPa ใช้กับเครื่องฉีดโฟม Line 1,2,3","MN02000","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_7"," Regulator + Gauge ขนาดรู 1/4"" 50-ET01006 ใช้ได้ทั่วไป","MN02001","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_8","Air Regulator 40/20 SP.5401079 แท้งเคมี","MN02002","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_9","Sensor  หัวฉีด Cannon ","MN03000","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
"product.product_mnt_10","สายสัญญาณเซนเซอร์หัวฉีด ใช้ร่วมกันได้ทั้ง 3 เครื่อง","MN03001","Maintenance",,,"TRUE","TRUE","FALSE","Stockable Product","Make to Stock","Buy","Average Price","EA","EA","Periodical (manual)","Output VAT 7%","Input VAT"
