id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_std-ahu-amair_1,PNL ASSY 25MM 0305 CL/GI,362-1AD0305CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,458,Output VAT,Input VAT
product.product_std-ahu-amair_2,PNL ASSY 25MM 0306 CL/GI,362-1AD0306CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,535,Output VAT,Input VAT
product.product_std-ahu-amair_3,PNL ASSY 25MM 0404 CL/CL,362-1AD0404CLCL,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,657,Output VAT,Input VAT
product.product_std-ahu-amair_4,PNL ASSY 25MM 0404 CL/GI,362-1AD0404CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,569,Output VAT,Input VAT
product.product_std-ahu-amair_5,PNL ASSY 25MM 0404 CL/SS,362-1AD0404CLSS,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,914,Output VAT,Input VAT
product.product_std-ahu-amair_6,PNL ASSY 25MM 0405 CL/GI,362-1AD0405CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,589,Output VAT,Input VAT
product.product_std-ahu-amair_7,PNL ASSY 25MM 0406 CL/CL,362-1AD0406CLCL,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,766,Output VAT,Input VAT
product.product_std-ahu-amair_8,PNL ASSY 25MM 0406 CL/GI,362-1AD0406CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,634,Output VAT,Input VAT
product.product_std-ahu-amair_9,PNL ASSY 25MM 0406 CL/SS,362-1AD0406CLSS,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1328,Output VAT,Input VAT
product.product_std-ahu-amair_10,PNL ASSY 25MM 0506 CL/GI,362-1AD0506CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,875,Output VAT,Input VAT
product.product_std-ahu-amair_11,PNL ASSY 25MM 0506 CL/SS,362-1AD0506CLSS,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1614,Output VAT,Input VAT
product.product_std-ahu-amair_12,PNL ASSY 25MM 0606 CL/GI,362-1AD0606CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1087,Output VAT,Input VAT
product.product_std-ahu-amair_13,PNL ASSY 25MM 0305 CL/GI,362-1AF0305CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,469,Output VAT,Input VAT
product.product_std-ahu-amair_14,PNL ASSY 25MM 0306 CL/GI,362-1AF0306CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,556,Output VAT,Input VAT
product.product_std-ahu-amair_15,PNL ASSY 25MM 0404 CL/CL,362-1AF0404CLCL,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,657,Output VAT,Input VAT
product.product_std-ahu-amair_16,PNL ASSY 25MM 0404 CL/GI,362-1AF0404CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,548,Output VAT,Input VAT
product.product_std-ahu-amair_17,PNL ASSY 25MM 0404 CL/SS,362-1AF0404CLSS,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1065,Output VAT,Input VAT
product.product_std-ahu-amair_18,PNL ASSY 25MM 0405 CL/GI,362-1AF0405CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,633,Output VAT,Input VAT
product.product_std-ahu-amair_19,PNL ASSY 25MM 0406 CL/GI,362-1AF0406CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,645,Output VAT,Input VAT
product.product_std-ahu-amair_20,PNL ASSY 25MM 0406 CL/SS,362-1AF0406CLSS,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1433,Output VAT,Input VAT
product.product_std-ahu-amair_21,PNL ASSY 25MM 0506 CL/GI,362-1AF0506CLGI,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,966,Output VAT,Input VAT
product.product_std-ahu-amair_22,PNL ASSY 25MM 0506 CL/SS,362-1AF0506CLSS,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1944,Output VAT,Input VAT
