"id","loc_rack","loc_row","loc_case"
"product.product_part_1","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_2","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_3",,,"โกดังอะลูมิเนียม"
"product.product_part_4","01-23",,"โกดังอะลูมิเนียม"
"product.product_part_5","01-01",,"โกดังอะลูมิเนียม"
"product.product_part_6","01-15",,"โกดังอะลูมิเนียม"
"product.product_part_7","01-22",,"โกดังอะลูมิเนียม"
"product.product_part_8","01-23",,"โกดังอะลูมิเนียม"
"product.product_part_9","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_10","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_11",,,"โกดังอะลูมิเนียม"
"product.product_part_12","01-15",,"โกดังอะลูมิเนียม"
"product.product_part_13","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_14","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_15","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_16","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_17","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_18","01-16",,"โกดังอะลูมิเนียม"
"product.product_part_19","01-16",,"โกดังอะลูมิเนียม"
"product.product_part_20","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_21","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_22","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_23","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_24","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_25","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_26","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_27","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_28","01-09",,"โกดังอะลูมิเนียม"
"product.product_part_29",,,"โกดังอะลูมิเนียม"
"product.product_part_30","01-11",,"โกดังอะลูมิเนียม"
"product.product_part_31","01-11",,"โกดังอะลูมิเนียม"
"product.product_part_32","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_33",,,"โกดังอะลูมิเนียม"
"product.product_part_34","01-11",,"โกดังอะลูมิเนียม"
"product.product_part_35","01-11",,"โกดังอะลูมิเนียม"
"product.product_part_36",,,"โกดังอะลูมิเนียม"
"product.product_part_37","01-04",,"โกดังอะลูมิเนียม"
"product.product_part_38","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_39","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_40","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_41","01-17",,"โกดังอะลูมิเนียม"
"product.product_part_42",,,"โกดังอะลูมิเนียม"
"product.product_part_43","01-20",,"โกดังอะลูมิเนียม"
