id,bom_id/id,product_id,product_qty_formula,product_uom
mrp.template_slipjoint_ahu_line1,mrp.template_slipjoint_ahu,[SP05006],"((59+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.75*2) or 0.0",kg
mrp.template_slipjoint_ahu_line2,mrp.template_slipjoint_ahu,[SP05007],"((59+line.W)>457 and (59+line.W)<=610) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.75*2) or 0.0",kg
mrp.template_slipjoint_ahu_line3,mrp.template_slipjoint_ahu,[SP05006],"((59+line.W)>610 and (59+line.W)<=914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0",kg
mrp.template_slipjoint_ahu_line4,mrp.template_slipjoint_ahu,[SP05007],"((59+line.W)>914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0",kg
mrp.template_slipjoint_ahu_line5,mrp.template_slipjoint_ahu,[SP05008],"((59+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (457*line.L/1000000*3.4*2) or 0.0",kg
mrp.template_slipjoint_ahu_line6,mrp.template_slipjoint_ahu,[SP05009],"((59+line.W)>457 and (59+line.W)<=610) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (610*line.L/1000000*3.4*2) or 0.0",kg
mrp.template_slipjoint_ahu_line7,mrp.template_slipjoint_ahu,[SP05008],"((59+line.W)>610 and (59+line.W)<=914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (914*line.L/1000000*3.4*2) or 0.0",kg
mrp.template_slipjoint_ahu_line8,mrp.template_slipjoint_ahu,[SP05009],"((59+line.W)>914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.4*2) or 0.0",kg
mrp.template_slipjoint_ahu_line9,mrp.template_slipjoint_ahu,[SP05006],"((59+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.75) or 0.0",kg
mrp.template_slipjoint_ahu_line10,mrp.template_slipjoint_ahu,[SP05004],"((59+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.2) or 0.0",kg
mrp.template_slipjoint_ahu_line11,mrp.template_slipjoint_ahu,[SP05007],"((59+line.W)>457 and (59+line.W)<=610) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.75) or 0.0",kg
mrp.template_slipjoint_ahu_line12,mrp.template_slipjoint_ahu,[SP05012],"((59+line.W)>457 and (59+line.W)<=610) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.2) or 0.0",kg
mrp.template_slipjoint_ahu_line13,mrp.template_slipjoint_ahu,[SP05006],"((59+line.W)>610 and (59+line.W)<=914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75) or 0.0",kg
mrp.template_slipjoint_ahu_line14,mrp.template_slipjoint_ahu,[SP05004],"((59+line.W)>610 and (59+line.W)<=914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.2) or 0.0",kg
mrp.template_slipjoint_ahu_line15,mrp.template_slipjoint_ahu,[SP05007],"((59+line.W)>914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75) or 0.0",kg
mrp.template_slipjoint_ahu_line16,mrp.template_slipjoint_ahu,[SP05012],"((59+line.W)>914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.2) or 0.0",kg
mrp.template_slipjoint_ahu_line17,mrp.template_slipjoint_ahu,[SP05013],"((59+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (457*line.L/1000000*3.9*2) or 0.0",kg
mrp.template_slipjoint_ahu_line18,mrp.template_slipjoint_ahu,[SP05013],"((59+line.W)>457 and (59+line.W)<=610) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (610*line.L/1000000*3.9*2) or 0.0",kg
mrp.template_slipjoint_ahu_line19,mrp.template_slipjoint_ahu,[SP05013],"((59+line.W)>610 and (59+line.W)<=914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (914*line.L/1000000*3.9*2) or 0.0",kg
mrp.template_slipjoint_ahu_line20,mrp.template_slipjoint_ahu,[SP05013],"((59+line.W)>914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (1219*line.L/1000000*3.9*2) or 0.0",kg
mrp.template_slipjoint_ahu_line21,mrp.template_slipjoint_ahu,[SP05006],"((59+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.75) or 0.0",kg
mrp.template_slipjoint_ahu_line22,mrp.template_slipjoint_ahu,[SP05013],"((59+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.9) or 0.0",kg
mrp.template_slipjoint_ahu_line23,mrp.template_slipjoint_ahu,[SP05007],"((59+line.W)>457 and (59+line.W)<=610) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.75) or 0.0",kg
mrp.template_slipjoint_ahu_line24,mrp.template_slipjoint_ahu,[SP05013],"((59+line.W)>457 and (59+line.W)<=610) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.9) or 0.0",kg
mrp.template_slipjoint_ahu_line25,mrp.template_slipjoint_ahu,[SP05006],"((59+line.W)>610 and (59+line.W)<=914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75) or 0.0",kg
