"id","bom_id/id","product_id","product_qty_formula","product_uom"
"mrp.template_slipjoint_rockwool_line1","mrp.template_slipjoint_rockwool","[SP05006]","((49+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line2","mrp.template_slipjoint_rockwool","[SP05007]","((49+line.W)>457 and (49+line.W)<=610) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line3","mrp.template_slipjoint_rockwool","[SP05006]","((49+line.W)>610 and (49+line.W)<=914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line4","mrp.template_slipjoint_rockwool","[SP05007]","((49+line.W)>914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line5","mrp.template_slipjoint_rockwool","[SP05020]","((49+line.W)<=457) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI8') and (line.mat_outside_skin_choices.code=='GI8') and (457*line.L/1000000*5.85*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line6","mrp.template_slipjoint_rockwool","[SP05020]","((49+line.W)>610 and (49+line.W)<=914) and (line.mat_joint_choices.code in ('MF','MM','FF')) and (line.mat_inside_skin_choices.code=='GI8') and (line.mat_outside_skin_choices.code=='GI8') and (914*line.L/1000000*5.85*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line7","mrp.template_slipjoint_rockwool","[SP05006]","((29+line.W)<=457) and (line.mat_joint_choices.code in ('MN','FN')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line8","mrp.template_slipjoint_rockwool","[SP05007]","((29+line.W)>457 and (29+line.W)<=610) and (line.mat_joint_choices.code in ('MN','FN')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line9","mrp.template_slipjoint_rockwool","[SP05006]","((29+line.W)>610 and (29+line.W)<=914) and (line.mat_joint_choices.code in ('MN','FN')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line10","mrp.template_slipjoint_rockwool","[SP05007]","((29+line.W)>914) and (line.mat_joint_choices.code in ('MN','FN')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line11","mrp.template_slipjoint_rockwool","[SP05020]","((29+line.W)<=457) and (line.mat_joint_choices.code in ('MN','FN')) and (line.mat_inside_skin_choices.code=='GI8') and (line.mat_outside_skin_choices.code=='GI8') and (457*line.L/1000000*5.85*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line12","mrp.template_slipjoint_rockwool","[SP05020]","((29+line.W)>610 and (29+line.W)<=914) and (line.mat_joint_choices.code in ('MN','FN')) and (line.mat_inside_skin_choices.code=='GI8') and (line.mat_outside_skin_choices.code=='GI8') and (914*line.L/1000000*5.85*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line13","mrp.template_slipjoint_rockwool","[SP05006]","((14+line.W)<=457) and (line.mat_joint_choices.code in ('NN')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line14","mrp.template_slipjoint_rockwool","[SP05007]","((14+line.W)>457 and (14+line.W)<=610) and (line.mat_joint_choices.code in ('NN')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line15","mrp.template_slipjoint_rockwool","[SP05006]","((14+line.W)>610 and (14+line.W)<=914) and (line.mat_joint_choices.code in ('NN')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line16","mrp.template_slipjoint_rockwool","[SP05007]","((14+line.W)>914) and (line.mat_joint_choices.code in ('NN')) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line17","mrp.template_slipjoint_rockwool","[SP05020]","((14+line.W)<=457) and (line.mat_joint_choices.code in ('NN')) and (line.mat_inside_skin_choices.code=='GI8') and (line.mat_outside_skin_choices.code=='GI8') and (457*line.L/1000000*5.85*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line18","mrp.template_slipjoint_rockwool","[SP05020]","((14+line.W)>610 and (14+line.W)<=914) and (line.mat_joint_choices.code in ('NN')) and (line.mat_inside_skin_choices.code=='GI8') and (line.mat_outside_skin_choices.code=='GI8') and (914*line.L/1000000*5.85*2) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line19","mrp.template_slipjoint_rockwool","[SP05021]","(line.mat_insulation_choices.code == 'Rockwool') and (line.T.value==50) and (round((line.W*line.L/1000000/2.52)+0.5,0)) or 0.0","pcs"
"mrp.template_slipjoint_rockwool_line20","mrp.template_slipjoint_rockwool","[SP05021]","(line.mat_insulation_choices.code == 'Rockwool') and (line.T.value==75) and (round((line.W*line.L/1000000/1.68)+0.5,0)) or 0.0","pcs"
"mrp.template_slipjoint_rockwool_line21","mrp.template_slipjoint_rockwool","[SP05021]","(line.mat_insulation_choices.code == 'Rockwool') and (line.T.value==100) and (round((line.W*line.L/1000000/1.32)+0.5,0)) or 0.0","pcs"
"mrp.template_slipjoint_rockwool_line22","mrp.template_slipjoint_rockwool","[SP03131]","(line.W*line.L/1000000*0.3) or 0.0","kg"
"mrp.template_slipjoint_rockwool_line23","mrp.template_slipjoint_rockwool","[SP03006]","(line.L/1000/200*2) or 0.0","roll"
