id,bom_id/id,product_id,product_qty_formula,product_uom
mrp.template_single_door_flat_line1,mrp.template_single_door_flat,[SP05006],((14+line.W)<=914) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_single_door_flat_line2,mrp.template_single_door_flat,[SP05007],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_single_door_flat_line3,mrp.template_single_door_flat,[SP05007],((14+line.W)>1219 and (14+line.W)<=1788) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*4) or 0.0,kg
mrp.template_single_door_flat_line4,mrp.template_single_door_flat,[SP05008],((14+line.W)<=914) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (914*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_single_door_flat_line5,mrp.template_single_door_flat,[SP05009],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_single_door_flat_line6,mrp.template_single_door_flat,[SP05008],((14+line.W)>1219 and (14+line.W)<=1788) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (914*line.L/1000000*3.4*4) or 0.0,kg
mrp.template_single_door_flat_line7,mrp.template_single_door_flat,[SP05026],((14+line.W)<=914) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and (914*line.L/1000000*3.2*2) or 0.0,kg
mrp.template_single_door_flat_line8,mrp.template_single_door_flat,[SP05018],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and (1219*line.L/1000000*3.2*2) or 0.0,kg
mrp.template_single_door_flat_line9,mrp.template_single_door_flat,[SP05026],((14+line.W)>1219 and (14+line.W)<=1788) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and (914*line.L/1000000*3.2*4) or 0.0,kg
mrp.template_single_door_flat_line10,mrp.template_single_door_flat,[SP05013],((14+line.W)<=914) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (914*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_single_door_flat_line11,mrp.template_single_door_flat,[SP05013],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (1219*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_single_door_flat_line12,mrp.template_single_door_flat,[SP05013],((14+line.W)>1219 and (14+line.W)<=1788) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (914*line.L/1000000*3.9*4) or 0.0,kg
mrp.template_single_door_flat_line13,mrp.template_single_door_flat,[SP05006],((14+line.W)<=914) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (914*line.L/1000000*3.75) or 0.0,kg
mrp.template_single_door_flat_line14,mrp.template_single_door_flat,[SP05026],((14+line.W)<=914) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (914*line.L/1000000*3.2) or 0.0,kg
mrp.template_single_door_flat_line15,mrp.template_single_door_flat,[SP05007],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (1219*line.L/1000000*3.75) or 0.0,kg
mrp.template_single_door_flat_line16,mrp.template_single_door_flat,[SP05018],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (1219*line.L/1000000*3.2) or 0.0,kg
mrp.template_single_door_flat_line17,mrp.template_single_door_flat,[SP05006],((14+line.W)>1219 and (14+line.W)<=1788) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (914*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_single_door_flat_line18,mrp.template_single_door_flat,[SP05026],((14+line.W)>1219 and (14+line.W)<=1788) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='GI') and (914*line.L/1000000*3.2*2) or 0.0,kg
mrp.template_single_door_flat_line19,mrp.template_single_door_flat,[SP05006],((14+line.W)<=914) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75) or 0.0,kg
mrp.template_single_door_flat_line20,mrp.template_single_door_flat,[SP05026],((14+line.W)<=914) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.2) or 0.0,kg
mrp.template_single_door_flat_line21,mrp.template_single_door_flat,[SP05007],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75) or 0.0,kg
mrp.template_single_door_flat_line22,mrp.template_single_door_flat,[SP05018],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.2) or 0.0,kg
mrp.template_single_door_flat_line23,mrp.template_single_door_flat,[SP05006],((14+line.W)>1219 and (14+line.W)<=1788) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0,kg
