id,bom_id/id,product_id,product_qty_formula,product_uom
mrp.template_double_door_unseq_line1,mrp.template_double_door_unseq,[SP05006],((14+line.W/2)<=914) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*4) or 0.0,kg
mrp.template_double_door_unseq_line2,mrp.template_double_door_unseq,[SP05007],((14+line.W/2)>914 and (14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*4) or 0.0,kg
mrp.template_double_door_unseq_line3,mrp.template_double_door_unseq,[SP05008],((14+line.W/2)<=914) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (914*line.L/1000000*3.4*4) or 0.0,kg
mrp.template_double_door_unseq_line4,mrp.template_double_door_unseq,[SP05009],((14+line.W/2)>914 and (14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.4*4) or 0.0,kg
mrp.template_double_door_unseq_line5,mrp.template_double_door_unseq,[SP05018],((14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and (1219*line.L/1000000*3.2*4) or 0.0,kg
mrp.template_double_door_unseq_line6,mrp.template_double_door_unseq,[SP05013],((14+line.W/2)<=914) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (914*line.L/1000000*3.9*4) or 0.0,kg
mrp.template_double_door_unseq_line7,mrp.template_double_door_unseq,[SP05013],((14+line.W/2)>914 and (14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (1219*line.L/1000000*3.9*4) or 0.0,kg
mrp.template_double_door_unseq_line8,mrp.template_double_door_unseq,[SP05006],((14+line.W/2)<=914) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_double_door_unseq_line9,mrp.template_double_door_unseq,[SP05007],((14+line.W/2)>914 and (14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_double_door_unseq_line10,mrp.template_double_door_unseq,[SP05013],((14+line.W/2)<=914) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_double_door_unseq_line11,mrp.template_double_door_unseq,[SP05013],((14+line.W/2)>914 and (14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_double_door_unseq_line12,mrp.template_double_door_unseq,[SP05008],((14+line.W/2)<=914) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='AW') and (914*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_double_door_unseq_line13,mrp.template_double_door_unseq,[SP05009],((14+line.W/2)>914 and (14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_double_door_unseq_line14,mrp.template_double_door_unseq,[SP05013],((14+line.W/2)<=914) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='AW') and (914*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_double_door_unseq_line15,mrp.template_double_door_unseq,[SP05013],((14+line.W/2)>914 and (14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_double_door_unseq_line16,mrp.template_double_door_unseq,[SP05018],((14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='GI') and (1219*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_double_door_unseq_line17,mrp.template_double_door_unseq,[SP05013],((14+line.W/2)<=914) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='GI') and (914*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_double_door_unseq_line18,mrp.template_double_door_unseq,[SP05013],((14+line.W/2)>914 and (14+line.W/2)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='GI') and (1219*line.L/1000000*3.9*2) or 0.0,kg
mrp.template_double_door_unseq_line19,mrp.template_double_door_unseq,[SP05002],(line.mat_insulation_choices.code == 'PU') and ((line.W*line.L*line.T.value/1000000000*80*0.437*1.13)*2-(line.cut_area*line.T.value*80*0.437*1.13*2/1000)) or 0.0,kg
mrp.template_double_door_unseq_line20,mrp.template_double_door_unseq,[SP05003],(line.mat_insulation_choices.code == 'PU') and ((line.W*line.L*line.T.value/1000000000*80*0.563*1.13)*2-(line.cut_area*line.T.value*80*0.563*1.13*2/1000)) or 0.0,kg
mrp.template_double_door_unseq_line21,mrp.template_double_door_unseq,[SP01328],"(line.T.name=='42(F42)') and (round(((line.W*2)+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line22,mrp.template_double_door_unseq,[SP01340],"(line.T.name=='50(F50)') and (round(((line.W*2)+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line23,mrp.template_double_door_unseq,[SP01344],"(line.T.name=='42(F100)') and (round(((line.W*2)+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line24,mrp.template_double_door_unseq,[SP01431],"(line.T.name=='50(F100)') and (round(((line.W*2)+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line25,mrp.template_double_door_unseq,[SP02183],"(round((((line.W*2)+(line.L*2))/1000),1)) or 0.0",m
mrp.template_double_door_unseq_line26,mrp.template_double_door_unseq,[SP02149],((line.L*2)/1000) or 0.0,m
mrp.template_double_door_unseq_line27,mrp.template_double_door_unseq,[SP01181],"(round(line.W/1000*6,0)) or 0.0",pcs
mrp.template_double_door_unseq_line28,mrp.template_double_door_unseq,[SP01134],"(line.T.name=='42(F42)') and (round(((line.W*2)+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line29,mrp.template_double_door_unseq,[SP01300],"(line.T.name=='50(F50)') and (round(((line.W*2)+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line30,mrp.template_double_door_unseq,[SP01134],"(line.T.name=='42(F100)') and (round(((line.W*2)+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line31,mrp.template_double_door_unseq,[SP01300],"(line.T.name=='50(F100)') and (round(((line.W*2)+(line.L*2))/1000/6+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line32,mrp.template_double_door_unseq,[SP01292],"(line.T.name=='42(F42)') and (round(((line.L)*2/1000/6)+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line33,mrp.template_double_door_unseq,[SP01352],"(line.T.name=='50(F50)') and (round(((line.L)*2/1000/6)+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line34,mrp.template_double_door_unseq,[SP01292],"(line.T.name=='42(F100)') and (round(((line.L)*2/1000/6)+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line35,mrp.template_double_door_unseq,[SP01352],"(line.T.name=='50(F100)') and (round(((line.L)*2/1000/6)+0.5,0)) or 0.0",pcs
mrp.template_double_door_unseq_line36,mrp.template_double_door_unseq,[SP02114],(line.W <= 930) and 2.0 or 0.0,pcs
mrp.template_double_door_unseq_line37,mrp.template_double_door_unseq,[SP02122],(line.W > 930 and line.W <= 1085) and 2.0 or 0.0,pcs
mrp.template_double_door_unseq_line38,mrp.template_double_door_unseq,[SP02116],(line.W > 1085 and line.W <= 1230) and 2.0 or 0.0,pcs
mrp.template_double_door_unseq_line39,mrp.template_double_door_unseq,[SP02071],(line.mat_window_choices.code == 'None') and 0 or 0.0,pcs
mrp.template_double_door_unseq_line40,mrp.template_double_door_unseq,[SP02071],(line.mat_window_choices.code == 'Single') and 2 or 0.0,pcs
mrp.template_double_door_unseq_line41,mrp.template_double_door_unseq,[SP02071],(line.mat_window_choices.code == 'Double') and 4 or 0.0,pcs
mrp.template_double_door_unseq_line42,mrp.template_double_door_unseq,[SP03032],(2) or 0.0,pcs
mrp.template_double_door_unseq_line43,mrp.template_double_door_unseq,[SP02197],(2) or 0.0,set
mrp.template_double_door_unseq_line44,mrp.template_double_door_unseq,[SP02195],(4) or 0.0,set
mrp.template_double_door_unseq_line45,mrp.template_double_door_unseq,[SP02196],(4) or 0.0,set
mrp.template_double_door_unseq_line46,mrp.template_double_door_unseq,[SP03173],(4) or 0.0,pcs
mrp.template_double_door_unseq_line47,mrp.template_double_door_unseq,[SP03177],(2) or 0.0,pcs
mrp.template_double_door_unseq_line48,mrp.template_double_door_unseq,[SP03178],(2) or 0.0,pcs
mrp.template_double_door_unseq_line49,mrp.template_double_door_unseq,[SP02147],(2) or 0.0,set
mrp.template_double_door_unseq_line50,mrp.template_double_door_unseq,[SP02148],(2) or 0.0,pcs
mrp.template_double_door_unseq_line51,mrp.template_double_door_unseq,[SP03007],(line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (line.L/1000/200*2) or 0.0,roll
mrp.template_double_door_unseq_line52,mrp.template_double_door_unseq,[SP03006],(line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (line.L/1000/200*2) or 0.0,roll
mrp.template_double_door_unseq_line53,mrp.template_double_door_unseq,[SP03006],(line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (line.L/1000/200*2) or 0.0,roll
