"id","bom_id/id","product_id","product_qty_formula","product_uom"
"mrp.template_sliding_door_cold_line1","mrp.template_sliding_door_cold","[SP05007]","((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and ((1219*line.L/1000000*3.75*2)) or 0.0","kg"
"mrp.template_sliding_door_cold_line2","mrp.template_sliding_door_cold","[SP05007]","((14+line.W)>1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and ((1219*line.L/1000000*3.75*2)) or 0.0","kg"
"mrp.template_sliding_door_cold_line3","mrp.template_sliding_door_cold","[SP05009]","((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and ((1219*line.L/1000000*3.4*2)) or 0.0","kg"
"mrp.template_sliding_door_cold_line4","mrp.template_sliding_door_cold","[SP05009]","((14+line.W)>1219) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and ((1219*line.L/1000000*3.4*4)) or 0.0","kg"
"mrp.template_sliding_door_cold_line5","mrp.template_sliding_door_cold","[SP05018]","((14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and ((1219*line.L/1000000*3.2*2)) or 0.0","kg"
"mrp.template_sliding_door_cold_line6","mrp.template_sliding_door_cold","[SP05018]","((14+line.W)>1219) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and ((1219*line.L/1000000*3.2*4)) or 0.0","kg"
"mrp.template_sliding_door_cold_line7","mrp.template_sliding_door_cold","[SP05013]","((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and ((1219*line.L/1000000*3.9*2)) or 0.0","kg"
"mrp.template_sliding_door_cold_line8","mrp.template_sliding_door_cold","[SP05013]","((14+line.W)>1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and ((1219*line.L/1000000*3.9*4)) or 0.0","kg"
"mrp.template_sliding_door_cold_line9","mrp.template_sliding_door_cold","[SP05002]","(line.mat_insulation_choices.code == 'PU') and ((line.W*line.L*line.T.value/1000000000*80*0.437*1.13)-(line.cut_area*line.T.value*80*0.437*1.13/1000)) or 0.0","kg"
"mrp.template_sliding_door_cold_line10","mrp.template_sliding_door_cold","[SP05003]","(line.mat_insulation_choices.code == 'PU') and ((line.W*line.L*line.T.value/1000000000*80*0.563*1.13)-(line.cut_area*line.T.value*80*0.563*1.13/1000)) or 0.0","kg"
"mrp.template_sliding_door_cold_line11","mrp.template_sliding_door_cold","[SP04007]","(line.T.name=='100') and (round(((line.W+line.L)*2/1000)/3+0.5,0)) or 0.0","pcs"
"mrp.template_sliding_door_cold_line12","mrp.template_sliding_door_cold","[SP04006]","(line.T.name=='75') and (round(((line.W+line.L)*2/1000)/3+0.5,0)) or 0.0","pcs"
"mrp.template_sliding_door_cold_line13","mrp.template_sliding_door_cold","[SP01011]","(round(((line.W+(line.L*2))/1000)/6+0.5,0)) or 0.0","pcs"
"mrp.template_sliding_door_cold_line14","mrp.template_sliding_door_cold","[SP01067]","(round(((line.W+(line.L*2))/1000)/6+0.5,0)) or 0.0","pcs"
"mrp.template_sliding_door_cold_line15","mrp.template_sliding_door_cold","[SP01167]","(round((((line.W*2)+200)/1000)/6+0.5,0)) or 0.0","pcs"
"mrp.template_sliding_door_cold_line16","mrp.template_sliding_door_cold","[SP01227]","(round((((line.W*2)+200)/1000)/6+0.5,0)) or 0.0","pcs"
"mrp.template_sliding_door_cold_line17","mrp.template_sliding_door_cold","[SP01244]","(round((((line.W*2)+200)/1000)/6+0.5,0)) or 0.0","pcs"
"mrp.template_sliding_door_cold_line18","mrp.template_sliding_door_cold","[SP02026]","(((line.W+(line.L*2))/1000)) or 0.0","m"
"mrp.template_sliding_door_cold_line19","mrp.template_sliding_door_cold","[SP02031]","(6) or 0.0","pcs"
"mrp.template_sliding_door_cold_line20","mrp.template_sliding_door_cold","[SP02033]","(1) or 0.0","set"
"mrp.template_sliding_door_cold_line21","mrp.template_sliding_door_cold","[SP02034]","(2) or 0.0","set"
"mrp.template_sliding_door_cold_line22","mrp.template_sliding_door_cold","[SP02035]","(1) or 0.0","set"
"mrp.template_sliding_door_cold_line23","mrp.template_sliding_door_cold","[SP02036]","(1) or 0.0","set"
"mrp.template_sliding_door_cold_line24","mrp.template_sliding_door_cold","[SP02040]","(10) or 0.0","pcs"
