id,wizard_id/id,bom_product_type,mat_model_choices,part_name,part_code,bom_template_id,W,L,T,mat_joint_choices,mat_inside_skin_choices,mat_outside_skin_choices,mat_insulation_choices,list_price,partner_id
B_Grimm_Access_line_1,B_Grimm_Access,panel,B.Grimm Access,39GBP04-05 ACCESS DOOR,464P0001,Standard AHU,395,495,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,247,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_2,B_Grimm_Access,panel,B.Grimm Access,39GBP04-06 ACCESS DOOR,464P0002,Standard AHU,395,595,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,292,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_3,B_Grimm_Access,panel,B.Grimm Access,39GBP04-07 ACCESS DOOR,464P0003,Standard AHU,395,695,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,337,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_4,B_Grimm_Access,panel,B.Grimm Access,39GBP04-08 ACCESS DOOR,464P0004,Standard AHU,395,795,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,382,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_5,B_Grimm_Access,panel,B.Grimm Access,39GBP04-09 ACCESS DOOR,464P0005,Standard AHU,395,895,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,427,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_6,B_Grimm_Access,panel,B.Grimm Access,39GBP04-10 ACCESS DOOR,464P0006,Standard AHU,395,995,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,472,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_7,B_Grimm_Access,panel,B.Grimm Access,39GBP04-11 ACCESS DOOR,464P0007,Standard AHU,395,1095,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,518,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_8,B_Grimm_Access,panel,B.Grimm Access,39GBP04-12 ACCESS DOOR,464P0008,Standard AHU,395,1195,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,563,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_9,B_Grimm_Access,panel,B.Grimm Access,39GBP04-13 ACCESS DOOR,464P0009,Standard AHU,395,1295,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,608,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Access_line_10,B_Grimm_Access,panel,B.Grimm Access,39GBP04-14 ACCESS DOOR,464P0010,Standard AHU,395,1395,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,653,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
